model,tenor,horizon,regime,binom_pval,reject_bonferroni,reject_bh,mtc_N
htboost_t,10Y,5,ZIRP_late,0.5551369333231975,False,False,145
htboost_t,10Y,5,COVID,0.7551721483364444,False,False,145
htboost_t,10Y,5,Hiking,0.999993375195538,False,False,145
htboost_t,15Y,5,GFC,0.0360418190133164,False,False,145
htboost_t,15Y,5,ZIRP_early,0.0745781710996326,False,False,145
htboost_t,15Y,5,ZIRP_late,0.2739677790313593,False,False,145
htboost_t,15Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,15Y,5,Hiking,0.999801428148628,False,False,145
htboost_t,1Y,5,GFC,0.6862175480705943,False,False,145
htboost_t,1Y,5,ZIRP_early,0.9254218289003672,False,False,145
htboost_t,1Y,5,ZIRP_late,0.9998245567020492,False,False,145
htboost_t,1Y,5,COVID,4.188734207890653e-05,True,True,145
htboost_t,1Y,5,Hiking,0.0004303660508922,False,True,145
htboost_t,30Y,5,GFC,0.047499925244341,False,False,145
htboost_t,30Y,5,ZIRP_early,0.1460356246235326,False,False,145
htboost_t,30Y,5,ZIRP_late,0.7839992673269822,False,False,145
htboost_t,30Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,30Y,5,Hiking,0.9988415177872316,False,False,145
htboost_t,5Y,5,GFC,0.4253133096266072,False,False,145
htboost_t,5Y,5,ZIRP_early,0.2084713678683393,False,False,145
htboost_t,5Y,5,ZIRP_late,0.7667406967323049,False,False,145
htboost_t,5Y,5,COVID,0.967948914092967,False,False,145
htboost_t,5Y,5,Hiking,0.996379321625145,False,False,145
htboost_t,10Y,63,GFC,0.0273854775692165,False,False,145
htboost_t,10Y,63,ZIRP_early,1.0,False,False,145
htboost_t,10Y,63,ZIRP_late,0.0001129070919185,True,True,145
htboost_t,10Y,63,COVID,0.999991876316326,False,False,145
htboost_t,10Y,63,Hiking,1.0,False,False,145
htboost_t,15Y,63,GFC,0.2477495016199701,False,False,145
htboost_t,15Y,63,ZIRP_early,0.0113757797620313,False,True,145
htboost_t,15Y,63,ZIRP_late,9.342777984682026e-07,True,True,145
htboost_t,15Y,63,COVID,0.9998835854333452,False,False,145
htboost_t,15Y,63,Hiking,1.0,False,False,145
htboost_t,1Y,63,GFC,3.0847050564075373e-07,True,True,145
htboost_t,1Y,63,ZIRP_early,7.637288426171305e-06,True,True,145
htboost_t,1Y,63,ZIRP_late,0.9999999999485272,False,False,145
htboost_t,1Y,63,COVID,2.96062219282538e-10,True,True,145
htboost_t,1Y,63,Hiking,6.719590681326364e-05,True,True,145
htboost_t,30Y,63,GFC,0.048296629595344,False,False,145
htboost_t,30Y,63,ZIRP_early,0.9999999999999998,False,False,145
htboost_t,30Y,63,ZIRP_late,0.3737988738332619,False,False,145
htboost_t,30Y,63,COVID,0.9974574037722616,False,False,145
htboost_t,30Y,63,Hiking,1.0,False,False,145
htboost_t,5Y,63,GFC,0.000919399102633,False,True,145
htboost_t,5Y,63,ZIRP_early,0.0020844076640295,False,True,145
htboost_t,5Y,63,ZIRP_late,0.8044075535688144,False,False,145
htboost_t,5Y,63,COVID,0.999999999987792,False,False,145
htboost_t,5Y,63,Hiking,1.0,False,False,145
htboost_l2,10Y,126,GFC,1.361893556427072e-09,True,True,145
htboost_l2,10Y,126,ZIRP_early,6.434539611748782e-38,True,True,145
htboost_l2,10Y,126,ZIRP_late,1.386616607179794e-05,True,True,145
htboost_l2,10Y,126,COVID,1.0,False,False,145
htboost_l2,10Y,126,Hiking,1.0,False,False,145
htboost_l2,15Y,126,GFC,1.0,False,False,145
htboost_l2,15Y,126,ZIRP_early,1.0,False,False,145
htboost_l2,15Y,126,ZIRP_late,9.98193004022197e-08,True,True,145
htboost_l2,15Y,126,COVID,1.0,False,False,145
htboost_l2,15Y,126,Hiking,1.0,False,False,145
htboost_l2,1Y,126,GFC,1.0,False,False,145
htboost_l2,1Y,126,ZIRP_early,0.9319817733753798,False,False,145
htboost_l2,1Y,126,ZIRP_late,1.0,False,False,145
htboost_l2,1Y,126,COVID,0.2469702568283967,False,False,145
htboost_l2,1Y,126,Hiking,0.9999605948137544,False,False,145
htboost_l2,30Y,126,GFC,0.9999999999999956,False,False,145
htboost_l2,30Y,126,ZIRP_early,1.0,False,False,145
htboost_l2,30Y,126,ZIRP_late,5.813739518218265e-09,True,True,145
htboost_l2,30Y,126,COVID,0.999999999934394,False,False,145
htboost_l2,30Y,126,Hiking,1.0,False,False,145
htboost_l2,5Y,126,GFC,1.0,False,False,145
htboost_l2,5Y,126,ZIRP_early,4.798696860342095e-05,True,True,145
htboost_l2,5Y,126,ZIRP_late,0.1685728845333956,False,False,145
htboost_l2,5Y,126,COVID,0.822563192539348,False,False,145
htboost_l2,5Y,126,Hiking,0.9999999999974856,False,False,145
htboost_l2,10Y,1,GFC,0.6205500030580184,False,False,145
htboost_l2,10Y,1,ZIRP_early,0.2751604025389652,False,False,145
htboost_l2,10Y,1,ZIRP_late,0.6404532393088862,False,False,145
htboost_l2,10Y,1,COVID,0.4241410982056885,False,False,145
htboost_l2,10Y,1,Hiking,0.7869848260711869,False,False,145
htboost_l2,15Y,1,GFC,0.5172236466970141,False,False,145
htboost_l2,15Y,1,ZIRP_early,0.9999647994501896,False,False,145
htboost_l2,15Y,1,ZIRP_late,0.8210164514072572,False,False,145
htboost_l2,15Y,1,COVID,0.1521739259795749,False,False,145
htboost_l2,15Y,1,Hiking,0.0573475095473892,False,False,145
htboost_l2,1Y,1,GFC,0.7114473074641208,False,False,145
htboost_l2,1Y,1,ZIRP_early,0.9999727057335442,False,False,145
htboost_l2,1Y,1,ZIRP_late,0.9999063138481084,False,False,145
htboost_l2,1Y,1,COVID,0.9083252432360502,False,False,145
htboost_l2,1Y,1,Hiking,0.0593852686494573,False,False,145
htboost_l2,30Y,1,GFC,0.6638169821418001,False,False,145
htboost_l2,30Y,1,ZIRP_early,0.0568952598510864,False,False,145
htboost_l2,30Y,1,ZIRP_late,0.4522857980333106,False,False,145
htboost_l2,30Y,1,COVID,0.0176613816851292,False,False,145
htboost_l2,30Y,1,Hiking,0.7903504059886913,False,False,145
htboost_l2,5Y,1,GFC,0.9228247595211844,False,False,145
