pair,model_a,model_b,tenor,horizon,regime,n,dmh_stat,dmh_pval,sig,favours
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,Hiking,699,-4.218411702768825,2.784724054098116e-05,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,ZIRP,1089,2.805369609296525,0.005115436514907565,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,COVID,548,-0.7449549063450128,0.45661892616636546,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,GFC,561,0.8087563301619287,0.4189987750063835,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,Hiking,1109,-4.017366497956598,6.282271240342963e-05,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,ZIRP,1810,2.566020920749576,0.010367155401524386,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,COVID,547,-0.2844761732562178,0.7761533486294201,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,GFC,536,-2.1251698489724076,0.03403007577961194,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,Hiking,1074,-3.1090266976936154,0.001926491210301321,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,ZIRP,1810,2.4660882949084546,0.013751920931405015,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,COVID,547,-0.2339860694035251,0.8150835005206886,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,GFC,514,1.5147788955131773,0.13044427888978777,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,Hiking,1021,-1.758907753820796,0.078892996571653,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,ZIRP,1812,-0.1829246514919687,0.8548776154987834,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,252,COVID,530,-0.5259377416174194,0.5991518699859524,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,252,Hiking,931,-1.4678201652023555,0.14249118739006178,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,252,ZIRP,1814,1.3685014785486715,0.1713247103756992,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,1,COVID,418,0.9378276598728619,0.34887583394707944,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,1,GFC,559,1.8923629595551972,0.05895999645175267,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,1,Hiking,883,0.014006596080770338,0.9888278862035476,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,1,ZIRP,1436,0.3905020517646693,0.696223299071302,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,5,COVID,315,-1.2921993414690227,0.19723829168771975,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,5,GFC,415,-2.640646271836948,0.008587785785756905,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,30Y,5,Hiking,657,-3.0402087259315858,0.002458298497165862,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,30Y,5,ZIRP,1077,-1.4208850557822998,0.15563990016193707,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,21,COVID,523,-0.30991359573288,0.7567503467784835,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,21,GFC,688,-0.47227542286997454,0.6368801900759821,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,21,Hiking,1083,-3.05166801267379,0.002331223826724444,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,30Y,21,ZIRP,1787,-1.7946512335375244,0.07287833244743896,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,63,COVID,523,0.27799926493632654,0.7811229985568113,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,63,GFC,670,-1.0223824770476835,0.3069694629898104,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,63,Hiking,1053,0.9427037724818235,0.3460488768255334,False,tie
