validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,train,2bf248e672cc,108,21,3548,0.6428974069898534,1.0,0.24147610546062137,0.01963421449859927,0.025928787977733937,0.10701840027633061,0.24276389180011282,7.415795043786657,6.039613253960852e-14,4.657457774353988,1.659410178147264e-06,17.576046959916347,0.0,4.80976994595085e-66,169,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,oos,2bf248e672cc,108,21,1422,0.4838255977496484,1.0,-3.473837978434803,0.10176763962050506,0.022990421592827007,0.254870619857623,-3.426523420181928,-0.6952193555337334,0.7565410779008118,-5.875481302409158,0.9999999973779277,0.7881428849025367,0.21530656647223556,0.8936936780319878,68,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,train,2bf248e672cc,108,21,3184,0.6504396984924623,1.0,0.24385180334019896,0.023192281241970116,0.03077986361494975,0.11731723414156517,0.24651124085209886,6.8986919501549995,2.62412314100402e-12,4.280957599880401,9.579233710237062e-06,17.18824544172937,0.0,8.578320111510994e-66,152,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,oos,2bf248e672cc,108,21,1790,0.4620111731843575,1.0,-1.6342085253458052,0.03730009786005895,0.014258015351955306,0.1613515256568346,-1.6160792325801303,0.13849754178726734,0.4449236061323477,-6.6045620195417145,0.9999999999737927,-0.5034926051709558,0.6926910109340562,0.9994014312197601,85,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,train,2bf248e672cc,108,21,4421,0.6258764985297444,1.0,0.21915233046041183,0.019534314978201586,0.025016922334313504,0.10782751877898046,0.2191559490350221,6.762766319378872,6.7690297811395794e-12,4.397086903495383,5.614565688337764e-06,17.281201078450188,0.0,9.621720910197749e-64,211,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,oos,2bf248e672cc,108,21,542,0.4446494464944649,1.0,-9.358770817212251,0.27185146574521185,0.02626074260147601,0.309965973536613,-9.352009837297295,-1.2292732416221432,0.8905153118398295,-1.5580666130891632,0.9400988873178064,-2.4283221335390315,0.9924155682589748,0.9956362461747024,26,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_Hiking,Hiking,train,2bf248e672cc,108,21,3892,0.6575025693730729,1.0,0.2554478615862569,0.01395365410707515,0.018818983304213773,0.09317428977400329,0.2585330524231467,6.395805126083545,7.985179184544222e-11,4.633937013918302,1.852626819938483e-06,20.035573492577537,0.0,1.386103656133537e-87,185,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_10Y,NOR,10Y,Block_Hiking,Hiking,oos,2bf248e672cc,108,21,1111,0.4077407740774077,1.0,-20.42227066720959,0.9704345546634324,0.04649300753375338,0.9266600661843656,-19.872699060367484,-0.7672475487917382,0.778532826392246,-13.75023481227877,1.0,0.2689045560857774,0.3940015654103737,0.9999999997136558,53,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_15Y,NOR,15Y,Block_GFC,GFC,train,2bf248e672cc,108,21,3530,0.6424929178470254,1.0,0.21250224604327528,0.01870648850715988,0.023767988022719545,0.1051826993929619,0.21295447939141654,7.380533840551755,7.882583474838611e-14,4.5567475435431675,2.685562237703146e-06,17.163400459313948,0.0,2.3543180271175666e-65,168,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
block_cv,level_change,NOR_15Y,NOR,15Y,Block_GFC,GFC,oos,2bf248e672cc,108,21,1425,0.4617543859649123,1.0,-1.8732192332237352,0.06395364593519062,0.022347653508771926,0.20089452736763963,-1.8617611200248594,-0.9417964650513884,0.8268515723278655,-5.6469719149545625,0.9999999901577753,-1.5834451035935972,0.9433399751975496,0.9982229838906111,68,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
