validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,model,model_loss,machine,scheme,src_file,xgb_n_trees,xgb_max_depth,xgb_lr,cat_n_trees,cat_depth,cat_lr,alpha,l1_ratio,n_nonzero,n_trees,depth,lr
block_cv,level_change,NOR_15Y,NOR,15Y,Block_ZIRP,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,2611,0.725775564917656,1.0,0.2374105692440294,0.1339554172545062,0.1804385789850631,0.2858753151471397,0.2576121026446613,3.9796915807146864,3.45023661861843e-05,3.359056240098855,0.0003966627533367,23.288465288824938,0.0,3.588272757774323e-122,21,12,0.7394296034345207,2.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,2.0,1.0,
block_cv,level_change,NOR_15Y,NOR,15Y,Block_ZIRP,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1811,0.3489784649364991,1.0,-0.516804699410996,0.1599037230773711,0.1141856378024295,0.3186143500201305,-0.4003838499728449,-1.513624200733908,0.9349394102166576,-2.2748162761287607,0.9884832632065046,1.9248973758255363,0.0271210991418615,1.0,14,12,0.7394296034345207,2.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,2.0,1.0,
block_cv,level_change,NOR_15Y,NOR,15Y,Block_COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3895,0.6836970474967907,1.0,0.1623168457017981,0.1081164311040503,0.1294819772374839,0.2562024686800569,0.1650078766888683,3.4345457438152587,0.0002967739420818,3.1077410014995053,0.000949411618388,23.099457486550868,0.0,3.3594944675862354e-119,31,12,0.7359539971367663,39.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,39.0,3.0,
block_cv,level_change,NOR_15Y,NOR,15Y,Block_COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,523,0.6443594646271511,1.0,-0.0682145211028584,0.2588869316654211,0.2665032015487571,0.4034505448560424,0.0285785305357487,0.6533208188120417,0.256774736801971,0.4121256110143635,0.3402082722816018,-1.5369946534832146,0.937852690676414,1.996749944101457e-11,4,12,0.7359539971367663,39.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,39.0,3.0,
block_cv,level_change,NOR_15Y,NOR,15Y,Block_Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3652,0.5813253012048193,1.0,0.0136829196786432,0.1399023243790569,0.1451788637213034,0.2876636752625419,0.0363450932663013,1.521895711764199,0.0640176069205551,0.9039640850539616,0.1830370430818744,,,4.007764270734493e-23,29,12,0.7197333727445687,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_15Y,NOR,15Y,Block_Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1017,0.3185840707964602,1.0,-0.3400271877958321,0.1994928725729004,0.1741417520353982,0.3645232028629048,-0.145577497878562,-1.980566715426832,0.9761800576530184,-2.175843496572727,0.9851015851773494,,,1.0,8,12,0.7197333727445687,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3133,0.8400893712097032,1.0,0.426101687402705,0.1206407424058055,0.2166641363048196,0.1947073362262607,0.4431900707550464,2.569424137040139,0.0050933846664217,2.3187134756316032,0.0102373209390992,37.417342180419375,0.0,0.0,25,12,0.7739603416494583,34.0,4.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,34.0,4.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1269,0.3514578408195429,1.0,-0.1666181012505152,1.1332487201546386,1.0250939534771473,0.6326598992154961,-0.1055071745478815,-1.6536364823025165,0.9508993022766818,-1.623585106129144,0.9476435306606016,-13.327015539885798,1.0,1.0,10,12,0.7739603416494583,34.0,4.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,34.0,4.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_ZIRP,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,2525,0.6566336633663367,1.0,0.0097709077566594,0.7020963593329129,0.7183750973833662,0.5106959720546236,0.0226604988254013,0.6751635852150552,0.2497859196861998,0.3968031236459448,0.3457730970707736,,,6.591078496953111e-57,20,12,0.7438344263131816,1.0,7.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,7.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_ZIRP,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1812,0.5049668874172185,1.0,-0.2162935229924127,0.0848289038670888,0.0706665212582781,0.1888611949628815,-0.200411487032859,-0.612556812371444,0.7299152890303939,-1.3992011348483175,0.919038038022189,,,0.344817891327896,14,12,0.7438344263131816,1.0,7.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,7.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3788,0.5029039070749736,1.0,0.0146825142656218,0.4166681959597633,0.424227823342793,0.3533892713591142,0.0178197349798087,1.1261057646992212,0.1300603771326043,0.9106431480360296,0.1812706928723171,7.066724917995383,7.931433287922118e-13,0.3664774456251177,30,12,0.7405741326249694,1.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,2.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,547,0.1956124314442413,1.0,-0.0227091249948434,0.3191494104400301,0.3195521381224863,0.4213882561921637,0.0012602878667072,0.1157032835942678,0.4539438519008608,0.0247601126871842,0.49012767655534,,,1.0,4,12,0.7405741326249694,1.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,2.0,
block_cv,level_change,NOR_1Y,NOR,1Y,Block_Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3540,0.6265536723163841,1.0,0.0852628120091173,0.4148431472598793,0.4604730693357627,0.3158473555356521,0.0990935737929367,3.1674145354885823,0.0007690045481648,2.151622379234326,0.0157472855135983,20.654724066415447,0.0,5.606613822223014e-52,28,12,0.724846745169574,31.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,31.0,3.0,
