security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,1,0.10419593866392134,300,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,5,0.10423411791254711,304,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,1,0.10426478834975021,425,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,5,0.10394072306790068,500,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,1,0.10450717777646376,500,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,5,0.1043763877432176,496,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,1,0.10399315236395412,368,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,5,0.10356148683585625,445,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,1,0.10439556188661797,360,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,5,0.10420654414571898,499,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,1,0.10462637401214105,474,False
__POOL__,1,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,5,0.10443990809029642,497,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,1,0.10572328983271359,18,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,5,0.10391477455454921,442,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,1,0.10447071308833548,339,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,5,0.10416787437691274,499,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,1,0.10573518231984391,18,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,5,0.10573518228415837,18,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,1,0.10375168644129076,394,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,5,0.10573380586821739,33,False
__POOL__,1,walk_forward,GFC,True,0.01,3,1.0,1.0,5.0,1,0.1057822482113554,1,False
