security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,1.0,10.0,5,1.9566486458100818,237,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,1.0,1,1.8521444682138621,178,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,1.0,5,1.8607497081160358,176,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,5.0,1,1.8799552610703465,215,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,5.0,5,1.8573091916631068,210,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,10.0,1,1.8703255598138064,208,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,0.8,10.0,5,1.9006339051386778,165,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,1.0,1,1.902096682513489,186,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,1.0,5,1.8973627981203327,178,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,5.0,1,1.933813979088521,175,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,5.0,5,1.9042770391083939,182,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,10.0,1,1.9485960356298455,224,False
__POOL__,252,walk_forward,GFC,True,0.05,3,1.0,1.0,10.0,5,1.8873490640317434,295,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,1.0,1,2.1195477548669603,32,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,1.0,5,1.8861750668138768,500,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,5.0,1,1.9093282933028457,495,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,5.0,5,1.913269539392389,496,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,10.0,1,1.9303297151191208,294,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,0.8,10.0,5,1.9163490397330616,354,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,1.0,1,2.0587769405472005,34,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,1.0,5,2.0598247563509497,34,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,5.0,1,1.8553389230135435,495,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,5.0,5,1.83552398020631,500,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,10.0,1,1.8813172800832,137,False
__POOL__,252,walk_forward,GFC,True,0.05,5,0.8,1.0,10.0,5,1.8260862117545225,151,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,1.0,1,1.9617455857093369,121,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,1.0,5,2.0122540971414464,32,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,5.0,1,2.056702513828256,36,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,5.0,5,2.0605016557181077,36,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,10.0,1,2.0053599683358967,38,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,0.8,10.0,5,1.8492193712480967,319,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,1.0,1,2.0831757321524376,37,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,1.0,5,2.080081107519088,36,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,5.0,1,2.041231062436902,48,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,5.0,5,1.8934417205819807,211,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,10.0,1,1.8423805405923204,273,False
__POOL__,252,walk_forward,GFC,True,0.05,5,1.0,1.0,10.0,5,1.8505199763884828,472,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,1.0,1,1.8519575439654508,105,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,1.0,5,1.8311769208421815,115,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,5.0,1,1.8167148211761617,156,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,5.0,5,1.8844281880393194,154,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,10.0,1,1.935631324031746,135,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,0.8,10.0,5,1.9101896523042732,116,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,1.0,1,1.8879365052055859,97,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,1.0,5,1.8888019711941675,99,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,5.0,1,1.9358507508015457,87,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,5.0,5,1.9312251547307497,91,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,10.0,1,1.8977520395508012,92,False
__POOL__,252,walk_forward,GFC,True,0.1,3,0.8,1.0,10.0,5,1.9016071496295988,92,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,1.0,1,1.8265134520771773,110,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,1.0,5,1.837043171523766,93,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,5.0,1,1.8793741179519117,110,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,5.0,5,1.853455810255298,96,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,10.0,1,1.9530006023806659,101,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,0.8,10.0,5,1.9259918265582998,106,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,1.0,1,1.8828867835407064,86,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,1.0,5,1.8719458435874847,155,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,5.0,1,1.8866259969636565,96,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,5.0,5,1.7911869813810928,199,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,10.0,1,1.9633770557160781,93,False
__POOL__,252,walk_forward,GFC,True,0.1,3,1.0,1.0,10.0,5,1.9356843069457743,86,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,1.0,1,1.8923190517683743,131,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,1.0,5,1.8683908988250488,266,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,5.0,1,1.95069543164617,250,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,5.0,5,1.9902645853880447,204,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,10.0,1,1.8132043275708265,226,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,0.8,10.0,5,1.9197464804450186,229,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,1.0,1,1.8683357809689687,101,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,1.0,5,1.871667152988897,91,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,5.0,1,1.8206961098537682,283,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,5.0,5,1.8540083122225468,227,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,10.0,1,1.8419609192022854,300,False
__POOL__,252,walk_forward,GFC,True,0.1,5,0.8,1.0,10.0,5,1.8623141970279935,69,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,1.0,1,1.9744161268426923,267,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,1.0,5,1.9288068712234383,255,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,5.0,1,1.8865113596367653,247,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,5.0,5,1.945478182549612,75,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,10.0,1,1.7783806107219364,312,True
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,0.8,10.0,5,1.8910402500998271,338,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,1.0,1,2.1477373303219163,15,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,1.0,5,2.036455628802316,105,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,5.0,1,1.9977164510584848,23,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,5.0,5,1.8762081847012657,175,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,10.0,1,1.8871969706044356,312,False
__POOL__,252,walk_forward,GFC,True,0.1,5,1.0,1.0,10.0,5,1.845365635473429,428,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,1.0,1,0.7901513799736419,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,1.0,5,0.7901513799736419,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,5.0,1,0.7901519629942125,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,5.0,5,0.7901519629942125,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,10.0,1,0.7901527008627075,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,10.0,5,0.7901527008627075,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,1.0,1,0.7906908812164192,1,False
