notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,GFC,GFC,train,bf4168325708,1,968,0.4380165289256198,1.0,7.045967087071503e-05,0.0026737879517452763,0.002674189597107438,0.030993068034589157,0.0001501933006531342,0.3377400395942033,0.36777954933274404,0.1688255518849869,0.4329845827328562,-1.8855302779085497,0.9703208597077971,0.999950665791739,968,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,GFC,GFC,oos,bf4168325708,1,589,0.4533106960950764,1.0,-0.002870371939694527,0.0008383450304124472,0.0008381524702886249,0.0185633548144822,-0.00022974354982929768,-0.8551474768557923,0.8037652455137186,-0.9399485080633683,0.8261850314414111,-1.5280395560186026,0.9367486414300057,0.9895242046333081,589,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,train,bf4168325708,1,1557,0.020552344251766216,0.0,-0.00036430015890598355,0.001979632199743096,0.001979632199743096,0.0262446371226718,0.0,,,,,,,1.0,1557,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,oos,bf4168325708,1,1040,0.07307692307692308,0.0,-0.0018866465098930085,0.00030178211538461533,0.00030178211538461533,0.010692115384615385,0.0,,,,,,,1.0,1040,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,train,bf4168325708,1,2597,0.46977281478629185,1.0,5.214360449423694e-06,0.0013070524469116582,0.0013077168790912592,0.020075313613649233,0.0005080856492902797,1.0536929381651994,0.1460117615632992,0.5283592188046905,0.29864760000268026,,,0.9990365769775138,2597,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,oos,bf4168325708,1,779,0.417201540436457,1.0,-0.026909640734108287,0.00011497119512272476,0.00011295843388960214,0.007229947970718882,-0.01781860073493724,-2.6496687450085936,0.9959714637347074,-3.6052431613686204,0.9998341325573838,,,0.9999984803787403,779,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,COVID,COVID,train,bf4168325708,1,3376,0.45764218009478674,1.0,0.0001156685676286795,0.0010317567559819604,0.0010320306146327015,0.01707889352312242,0.00026535903766633506,0.5813612984690955,0.2804984876546728,0.2902985801017626,0.38580283000734744,,,0.9999996140359925,3376,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,COVID,COVID,oos,bf4168325708,1,548,0.4470802919708029,1.0,-0.0014086672154225433,0.0005473261498564375,0.0005479150751824819,0.010191094031460944,0.0010748478235396153,2.4341543676147332,0.007463313881067579,2.3966629017824888,0.008439903260723733,-1.8238342167163226,0.9659114303677463,0.9941723863793911,548,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,Hiking,Hiking,train,bf4168325708,1,3925,0.45070063694267515,1.0,9.883242589070473e-05,0.0009639065749807735,0.0009642484219617835,0.0161328712557969,0.00035452169090866015,0.7687765503437585,0.22101298597817043,0.3828045260054111,0.35094271964268525,,,0.9999999997142258,3925,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,Hiking,Hiking,oos,bf4168325708,1,1130,0.46194690265486726,1.0,-0.011495583938423204,0.0013096155050714028,0.0013049186371681411,0.023794090251296213,-0.003599356902016959,-2.2344416248864127,0.9872729852703842,-2.6402870574022015,0.9958010806744942,,,0.9951898121643291,1130,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_5Y,NOR,5Y,1,GFC,GFC,train,bf4168325708,1,974,0.47741273100616016,1.0,0.000948070821361835,0.001923238292631683,0.001925065523613964,0.03242564350869528,0.0009491785915164419,0.8798092645627826,0.18948132247050342,0.4397926253994873,0.3300924874913329,0.21004317561134653,0.41681698766230924,0.925352491536436,974,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_5Y,NOR,5Y,1,GFC,GFC,oos,bf4168325708,1,764,0.43848167539267013,1.0,-0.016587250397333886,0.0014282161801316962,0.0014102950654450253,0.02847007831390298,-0.012707351196053374,-1.33789824648079,0.9095351955723872,-2.383536605239625,0.9913045753427447,,,0.9997102753186307,764,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_5Y,NOR,5Y,1,ZIRP_early,ZIRP,train,bf4168325708,1,1738,0.056962025316455694,0.0,-0.0005819050558533156,0.001698779775604143,0.001698779775604143,0.03052140391254315,0.0,,,,,,,1.0,1738,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_5Y,NOR,5Y,1,ZIRP_early,ZIRP,oos,bf4168325708,1,1027,0.06718597857838364,0.0,-0.00103513658648402,0.0008274809152872441,0.0008274809152872441,0.02064576436222006,0.0,,,,,,,1.0,1027,False,False,150.0,walk_forward:{horizon×tenor×regime}
