learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,0.04068599310910813,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,0.04068599310910813,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,0.040709316245088153,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,0.040709316245088153,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,0.04073058257247479,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,0.04073058257247479,3,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.04092115741377392,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.04092115741377392,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,0.040888173064326815,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,0.040888173064326815,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,0.04086316462247545,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,0.04086316462247545,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,0.040864439186463784,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,0.040864439186463784,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,0.04090776134867211,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,0.04090776134867211,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,0.04092202858354681,6,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,0.04092202858354681,6,False,NOR_10Y,126,GFC,GFC,walk_forward
