security,horizon,fold,scheme,bucket,shap_share_pct
NOR_10Y,21,GFC,walk_forward,curve,28.78205449062772
NOR_10Y,21,GFC,walk_forward,momentum,7.185754012718823
NOR_10Y,21,GFC,walk_forward,vol,0.0
NOR_10Y,21,GFC,walk_forward,macro,9.440641453700511
NOR_10Y,21,GFC,walk_forward,credit,0.0
NOR_10Y,21,GFC,walk_forward,cross_market,0.0
NOR_10Y,21,GFC,walk_forward,norway,54.591550042952946
NOR_10Y,21,GFC,walk_forward,carry_roll,0.0
NOR_10Y,21,ZIRP_early,walk_forward,curve,10.926137928949887
NOR_10Y,21,ZIRP_early,walk_forward,momentum,5.5486577795265335
NOR_10Y,21,ZIRP_early,walk_forward,vol,7.980541766341814
NOR_10Y,21,ZIRP_early,walk_forward,macro,36.96945683370435
NOR_10Y,21,ZIRP_early,walk_forward,credit,0.0
NOR_10Y,21,ZIRP_early,walk_forward,cross_market,2.1816881694738712
NOR_10Y,21,ZIRP_early,walk_forward,norway,29.099426229755487
NOR_10Y,21,ZIRP_early,walk_forward,carry_roll,7.294091292248055
NOR_10Y,21,ZIRP_late,walk_forward,curve,16.690415913375702
NOR_10Y,21,ZIRP_late,walk_forward,momentum,7.4474584327027245
NOR_10Y,21,ZIRP_late,walk_forward,vol,3.362724209709911
NOR_10Y,21,ZIRP_late,walk_forward,macro,38.66445626211542
NOR_10Y,21,ZIRP_late,walk_forward,credit,0.0
NOR_10Y,21,ZIRP_late,walk_forward,cross_market,1.3912035139002474
NOR_10Y,21,ZIRP_late,walk_forward,norway,25.549652729773122
NOR_10Y,21,ZIRP_late,walk_forward,carry_roll,6.894088938422871
NOR_10Y,21,COVID,walk_forward,curve,30.260050568644587
NOR_10Y,21,COVID,walk_forward,momentum,1.5910696591500542
NOR_10Y,21,COVID,walk_forward,vol,8.525926846003859
NOR_10Y,21,COVID,walk_forward,macro,20.650265818142508
NOR_10Y,21,COVID,walk_forward,credit,0.0
