learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,0.002824878927308481,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,0.002824878927308481,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,0.002819485251087626,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,0.002819485251087626,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,0.00281885993130098,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,0.00281885993130098,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.002818487847691003,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.002818487847691003,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,0.0028184727444132826,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,0.0028184727444132826,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,0.0028178039064488845,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,0.0028178039064488845,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,0.0028179277260441996,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,0.0028179277260441996,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,0.002817263499443845,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,0.002817263499443845,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,0.0028178870750762103,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,0.0028178870750762103,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,1,0.0028179802895679914,6,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,5,0.0028179802895679914,6,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,1,0.0028171333356229716,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,5,0.0028171333356229716,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,1,0.0028172312334690548,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,5,0.0028172312334690548,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,1,0.0028232599135372535,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,5,0.0028232599135372535,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,1,0.002819105694125544,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,5,0.002819105694125544,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,1,0.002818343808768991,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,5,0.002818343808768991,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,1,0.0028171771012615887,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,5,0.0028171771012615887,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,5.0,1,0.0028181024222996695,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,5.0,5,0.0028181024222996695,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,10.0,1,0.002815594552772776,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,0.8,1.0,10.0,5,0.002815594552772776,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,1.0,1,0.002812217826190086,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,1.0,5,0.002812217826190086,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,5.0,1,0.0028182847644397735,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,5.0,5,0.0028182847644397735,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,10.0,1,0.002816606000703579,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,0.8,10.0,5,0.002816606000703579,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,1.0,1,0.002817590541393317,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,1.0,5,0.002817590541393317,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,5.0,1,0.002815996073730271,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,5.0,5,0.002815996073730271,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,10.0,1,0.0028180812204848128,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,6,1.0,1.0,10.0,5,0.0028180812204848128,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,1.0,1,0.0028631447889975992,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,1.0,5,0.0028631447889975992,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,5.0,1,0.0028271043375863317,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,5.0,5,0.0028271043375863317,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,10.0,1,0.0028228886015286767,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,0.8,10.0,5,0.0028228886015286767,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,1.0,1,0.0028210304600672074,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,1.0,5,0.0028210304600672074,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,5.0,1,0.002820935723581118,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,5.0,5,0.002820935723581118,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,10.0,1,0.002817283644079542,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,0.8,1.0,10.0,5,0.002817283644079542,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,4,1.0,0.8,1.0,1,0.0028178727462867875,1,False,NOR_10Y,5,GFC,GFC,walk_forward
