notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,cat_n_trees,cat_depth,cat_lr
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,00cec070b340,108,252,720,0.9527777777777777,1.0,0.9572325821785309,0.02070500912786509,0.48525609192708336,0.11676699278906477,0.9573317893946681,3.0369012532961466,0.0011951187219592097,2.0277043678818987,0.021479371879410757,24.263018190091767,0.0,4.1284714219732857e-159,3,12,0.7966381158656985,52,4,0.05
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,00cec070b340,108,252,663,0.2654600301659125,1.0,-2.7766755073136564,0.6232493260562662,0.2409666421719457,0.6983387201437057,-1.5864547907487396,-2.802657024068164,0.9974658231501297,-2.6014396955445207,0.9952545900919546,,,1.0,3,12,0.7966381158656985,52,4,0.05
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,acbe736300e8,108,252,1343,0.5651526433358154,1.0,0.01485319570632726,0.35863756213522,0.3861377393503351,0.4975854125184466,0.07121856895257961,1.01320905266731,0.15548015868888754,0.46029843046390295,0.3226882991701785,,,9.95224154181027e-07,5,12,0.7364132163992773,1,6,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,acbe736300e8,108,252,1011,0.6439169139465876,1.0,-0.01568058727534538,0.23664655753714064,0.28086613951533135,0.4039037244041884,0.15744006043055592,1.4198538043744242,0.07782512357460325,0.7172528031198447,0.2366919821364474,,,2.0715629475279468e-20,4,12,0.7364132163992773,1,6,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,9438103427a4,108,252,2345,0.6511727078891258,1.0,0.11490679437298623,0.2491794956030818,0.33262066805863544,0.40609269285107075,0.2508598546884174,2.7784779557724932,0.0027307109441191413,1.620871103496544,0.05258989376764244,,,1.9259889385743806e-49,9,12,0.7313112171152826,1,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,9438103427a4,108,252,782,0.6867007672634271,1.0,0.005200807620040493,0.1660215445876398,0.19762560281329927,0.32732024170914087,0.15991884541152512,1.0800674789478353,0.14005606621240907,0.331788183542976,0.3700691114778788,,,3.092225517581407e-26,3,12,0.7313112171152826,1,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,1ec66f144c71,108,252,3127,0.874000639590662,1.0,0.756678997964715,0.06256143943022911,0.2782897248920691,0.1993403910799554,0.7751931392562456,3.8217200075405935,6.626205401982777e-05,3.5841671281679797,0.00017166119799163758,41.46401135750322,0.0,0.0,12,12,0.729612522214483,19,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,1ec66f144c71,108,252,524,0.4580152671755725,1.0,-0.7837506837836905,0.7534716339381295,0.7490391758778626,0.7319407481406757,-0.005917525014725866,0.24668152976403157,0.4025773510050802,-0.030212019221225392,0.5120452558749278,-2.6746480646983564,0.9962596132728494,0.9753929117995038,2,12,0.729612522214483,19,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,7b84b23d3049,108,252,3650,0.7991780821917808,1.0,0.4731405549055965,0.14939318909375943,0.30244953157739723,0.3138206898343559,0.506055809329202,4.5104206233266435,3.2349604015546873e-06,3.9449341701003218,4.0661429906689447e-05,36.15396830945435,0.0,4.0853471278570214e-306,14,12,0.7195204209270477,7,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,7b84b23d3049,108,252,933,0.3140407288317256,1.0,-1.56790751614409,0.517033912240961,0.2664490572293676,0.5960467408180254,-0.940460655471121,-2.352084305025221,0.9906657283711174,-3.540166039996796,0.9997901731310868,2.946638994583644,0.001606240029813022,1.0,4,12,0.7195204209270477,7,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,4436fc2f1df2,108,252,706,0.9475920679886686,1.0,0.9664252046625073,0.012054399193218516,0.35914807967422097,0.08815828816555474,0.9664361307342839,3.4592235110023295,0.0002708675760563217,2.2777161866916287,0.011521020446465576,23.764371545387938,0.0,2.226137395334085e-151,3,12,0.7978164819797046,34,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,4436fc2f1df2,108,252,657,0.3226788432267884,1.0,-1.5141566555230517,0.5404005802317373,0.27713068797564694,0.6355434869295199,-0.9499846234251235,-2.1875040049925256,0.9856471244159231,-2.1569786241148887,0.9843150546044219,-2.839543658164268,0.9977410943756714,1.0,3,12,0.7978164819797046,34,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,train,f11ed9e2f994,108,252,1320,0.5515151515151515,1.0,0.01180806385755273,0.3180328991376505,0.3383422602272727,0.4703837173094917,0.06002608446246094,0.9566609558726633,0.16936920560692315,0.4304758402644541,0.3334599327355479,,,0.00010009828560962475,5,12,0.7364502738274018,1,4,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,oos,f11ed9e2f994,108,252,1031,0.6556741028128031,1.0,-0.04395971072569416,0.23944641315160692,0.2832644139185257,0.4034901303909588,0.15468939483348576,1.4893917545963067,0.06819211927653801,0.8288213714592941,0.2036987562759349,,,4.683636198037353e-24,4,12,0.7364502738274018,1,4,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,train,d058c745a7ae,108,252,2346,0.6372549019607843,1.0,0.12613198700610462,0.22576536866461608,0.3047193203324808,0.3865978055381658,0.2591038585335438,2.6769854528978456,0.0037143930158254346,1.5976255159472301,0.05513053676197396,,,5.15506435519882e-41,9,12,0.7318487934323432,1,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,oos,d058c745a7ae,108,252,782,0.6841432225063938,1.0,0.03664848148097655,0.13911344435014686,0.17985170074194373,0.30817195548616144,0.22651026497797355,1.2535543126654685,0.10500202308276496,0.4107420563409714,0.3406871751575537,,,1.4793161528752724e-25,3,12,0.7318487934323432,1,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,train,ae0ac0833443,108,252,3128,0.7864450127877238,1.0,0.5488613045187187,0.10681703646925782,0.2569296556106138,0.2643469291760501,0.5842557130456638,3.9077167599797593,4.658622036524118e-05,3.45964563015173,0.00027406090973571543,33.37975092997877,0.0,1.99322736582862e-239,12,12,0.7295988156631091,10,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,oos,ae0ac0833443,108,252,523,0.5277246653919694,1.0,-0.7822469902927007,0.6975210517994541,0.6497180523326961,0.682998418156681,-0.07357499040565352,-0.2940466099060838,0.6156388563482839,-0.2421167964434721,0.5956076229734651,4.631931797145887,1.8113475227510278e-06,0.11039097435746734,2,12,0.7295988156631091,10,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,train,eb519da8773b,108,252,3651,0.8671596822788277,1.0,0.6187894014578363,0.09867517584684748,0.27680002937556836,0.25253974960472,0.6435145759577834,5.0476837427245105,2.235993041832529e-07,4.5261302747049665,3.099449146767605e-06,44.70432557777509,0.0,0.0,14,12,0.7195249260155145,8,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,oos,eb519da8773b,108,252,927,0.2513484358144552,1.0,-1.5036669766089417,0.4093348950120628,0.2322658423300971,0.51907385701845,-0.7623551138884836,-3.232616118734114,0.9993866886349835,-3.9679811593807104,0.9999609574718417,0.45817445419227604,0.3234135557195953,1.0,4,12,0.7195249260155145,8,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,train,95f6943bad34,108,252,717,0.99581589958159,1.0,0.9949443063735983,0.021853392425957067,4.430474452751046,0.10785319303826989,0.9950674825779917,1.8866870421421367,0.029601215777086742,1.2267063407277439,0.11016810744087052,26.54724821642642,0.0,8.910530406128186e-209,3,12,0.798849239308928,45,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,95f6943bad34,108,252,520,0.026923076923076925,1.0,-39.80635964623081,2.4828854684436648,0.2226041267932692,1.545416158143744,-10.153815988099367,-4.665987935530334,0.9999984643113884,-4.628048281482618,0.9999976655291163,,,1.0,2,12,0.798849239308928,45,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,train,6eb5923871aa,108,252,1125,0.4666666666666667,1.0,0.015149409627733368,2.781838977883522,2.9095924772155555,1.260910828534723,0.04390769509216352,0.6012357899012707,0.27384147488584754,0.2828630745109933,0.38866694196337637,,,0.9882919649949946,4,12,0.75294191974441,1,6,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,6eb5923871aa,108,252,1038,0.7341040462427746,1.0,-0.3568865150442284,0.0802477427330167,0.0802835632273603,0.23930595434106694,0.0004461746950886747,1.7636909273322492,0.03889201472352044,0.0005657335932512315,0.49977435936626124,,,1.757402661462916e-53,4,12,0.75294191974441,1,6,0.01
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,train,a2ff8017b700,108,252,2162,0.8829787234042553,1.0,0.7667522822745859,0.34797072590456707,1.5644535226769192,0.4088356563112936,0.7775768210044628,1.4968611787821466,0.06721469170486305,1.3212030992671209,0.0932867623288302,34.400264616330915,0.0,3.724227727e-314,9,12,0.7389241914262045,9,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,a2ff8017b700,108,252,776,0.36597938144329895,1.0,-0.10294995009743779,0.4575769964054572,0.417101886378866,0.5244813611586708,-0.0970389042782378,-1.113432961769534,0.867238737460295,-1.0026168010353145,0.8418206393173016,1.1070981440657117,0.13412574893984108,0.999999999999978,3,12,0.7389241914262045,9,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,train,414b0fa5b0e6,108,252,2936,0.9049727520435967,1.0,0.9541869858852701,0.052552518309610295,1.1707337610039168,0.18079832844240284,0.9551114693535907,1.4968871381124398,0.06721131372979539,1.3922149213247945,0.08198139971394329,43.880197105733636,0.0,0.0,12,12,0.7375652978780988,26,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,414b0fa5b0e6,108,252,530,0.7245283018867924,1.0,-0.7551108806813192,1.3253179869672542,0.9950193943833964,0.8006264504147936,-0.33195191415192515,-0.9104008911580267,0.8186944360301571,-0.5597564245825811,0.7120587391354476,-1.199478272510269,0.8848289858588465,5.440118290180344e-26,2,12,0.7375652978780988,26,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,train,c27606d80534,108,252,3458,0.9508386350491613,1.0,0.9890133819515943,0.011814360170771634,1.1090687481747832,0.07597250075260939,0.9893474951934091,1.7142409941794483,0.04324223745746236,1.6034132805241106,0.0544673966992795,53.06023169657592,0.0,0.0,14,12,0.7271694387794247,69,6,0.1
