horizon,fold,bucket,share
63,GFC,cross_market,0.0
63,GFC,curve,0.387965
63,GFC,macro,0.24311
63,GFC,maturity,0.0
63,GFC,momentum,0.0
63,GFC,norway,0.253344
63,GFC,security,0.0
63,GFC,vol,0.11558
63,Hiking,carry_roll,0.107583
63,Hiking,country,0.362376
63,Hiking,credit,0.0
63,Hiking,cross_market,0.0
63,Hiking,curve,0.192517
63,Hiking,macro,0.337524
63,Hiking,maturity,0.0
63,Hiking,momentum,0.0
63,Hiking,norway,0.0
63,Hiking,security,0.0
63,Hiking,vol,0.0
63,ZIRP_early,carry_roll,0.121466
63,ZIRP_early,country,0.0
63,ZIRP_early,credit,0.0
63,ZIRP_early,cross_market,0.0
63,ZIRP_early,curve,0.0
63,ZIRP_early,macro,0.637265
63,ZIRP_early,maturity,0.0
63,ZIRP_early,momentum,0.0
63,ZIRP_early,norway,0.0
63,ZIRP_early,security,0.0
63,ZIRP_early,vol,0.241269
63,ZIRP_late,carry_roll,0.0978
63,ZIRP_late,country,0.0
63,ZIRP_late,credit,0.0
63,ZIRP_late,cross_market,0.0
63,ZIRP_late,curve,0.207198
63,ZIRP_late,macro,0.317998
63,ZIRP_late,maturity,0.0
63,ZIRP_late,momentum,0.0
63,ZIRP_late,norway,0.0
63,ZIRP_late,security,0.0
63,ZIRP_late,vol,0.377003
126,COVID,carry_roll,0.0
126,COVID,country,0.0
126,COVID,credit,0.0
126,COVID,cross_market,0.0
126,COVID,curve,0.0
126,COVID,macro,0.895158
126,COVID,maturity,0.0
126,COVID,momentum,0.0
126,COVID,norway,0.0
126,COVID,security,0.0
126,COVID,vol,0.104842
126,GFC,carry_roll,0.0
126,GFC,country,0.0
126,GFC,credit,0.0
126,GFC,cross_market,0.0
126,GFC,curve,0.0
126,GFC,macro,0.699596
126,GFC,maturity,0.0
126,GFC,momentum,0.0
126,GFC,norway,0.0
126,GFC,security,0.177502
126,GFC,vol,0.122902
126,Hiking,carry_roll,0.0
126,Hiking,country,0.0
126,Hiking,credit,0.0
126,Hiking,cross_market,0.0
126,Hiking,curve,0.101687
126,Hiking,macro,0.788292
126,Hiking,maturity,0.0
126,Hiking,momentum,0.0
126,Hiking,norway,0.110022
126,Hiking,security,0.0
126,Hiking,vol,0.0
126,ZIRP_early,carry_roll,0.0
126,ZIRP_early,country,0.0
126,ZIRP_early,credit,0.0
126,ZIRP_early,cross_market,0.0
126,ZIRP_early,curve,0.0
126,ZIRP_early,macro,1.0
126,ZIRP_early,maturity,0.0
126,ZIRP_early,momentum,0.0
126,ZIRP_early,norway,0.0
