column	kind	dtype	value_hash16
NOR_5Y	raw	float64	5a391e27e29d62a3
NOR_ibor_chg_1d	derived	float64	96ab5a2ca6ba5d11
NOR_ibor_level	derived	float64	df9282f644db6367
NOR_ibor_mom_1m	derived	float64	d6d7129b31d82be5
NOR_ibor_term_slope	derived	float64	845f298afabfd4a1
OPECDALY Index  (R3)	raw	float64	8f4f67b08d35afc9
OVX Index  (R3)	raw	float64	c5f8b666f7883d9a
PCE CORE Index  (L2)	raw	float64	0e60f34e58dfc6b6
PCE CRCH Index  (L1)	raw	float64	8eb5dc54bd771cd8
POL_10Y	raw	float64	f3338fd7e7872c90
POL_15Y	raw	float64	af2ecef2c9730200
POL_1Y	raw	float64	2cb549272453edc9
POL_5Y	raw	float64	8f6be2048bcdc600
POL_ibor_chg_1d	derived	float64	19ce2f28054afcb0
POL_ibor_level	derived	float64	24174e9bc4d5fa4c
POL_ibor_mom_1m	derived	float64	c60897a3e15a7e95
POL_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
RVX Index  (L2)	raw	float64	dfc1c4ebc00af900
SOFRRATE Index  (L1)	raw	float64	418d565e9b664f32
SOFR_10Y	raw	float64	d41aa2684bd11225
SOFR_1M	raw	float64	779f43de0055f628
SOFR_1W	raw	float64	c005ef794e92f03e
SOFR_1Y	raw	float64	462ece124201ab77
SOFR_30Y	raw	float64	284905dad2ccf363
SOFR_3M	raw	float64	0606a50509a4e8fa
SOFR_5Y	raw	float64	630bfa3d1f395e98
SOFR_6M	raw	float64	8dbd193f7a312129
SOFR_ibor_chg_1d	derived	float64	0a51317d063c3e0e
SOFR_ibor_level	derived	float64	418d565e9b664f32
SOFR_ibor_mom_1m	derived	float64	b2bf511e21146316
SOFR_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
SONIA_10Y	raw	float64	573c465ef0572331
SONIA_15Y	raw	float64	bc0be917b505cee9
SONIA_1M	raw	float64	f7deb27b4f5ad549
SONIA_1W	raw	float64	d00a725e395cfe63
SONIA_1Y	raw	float64	a7986178bf154233
SONIA_30Y	raw	float64	57cef0df11a7ee01
SONIA_3M	raw	float64	8186b21b3ba4d2df
SONIA_5Y	raw	float64	4543a80745ce55b6
SONIA_6M	raw	float64	7b4a07a421fe4ce8
SONIA_ibor_chg_1d	derived	float64	c18fb0492b5ce9e4
SONIA_ibor_level	derived	float64	226d06718225072a
SONIA_ibor_mom_1m	derived	float64	4136eebc046d25ce
SONIA_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
SONIO/N Index  (L1)	raw	float64	226d06718225072a
SPX Index  (R4)	raw	float64	441c250f0df6cc30
SRFXON3 Index  (L1)	raw	float64	b9f41946db34d788
STIB3M Index  (L1)	raw	float64	b7e59116b8b33c9d
SWE_10Y	raw	float64	d09b176121ba65f7
SWE_15Y	raw	float64	858899002119849a
SWE_1Y	raw	float64	727486c018de517c
SWE_30Y	raw	float64	9c48c7bbd5477eba
SWE_5Y	raw	float64	e47fece7b39bbbfd
SWE_ibor_chg_1d	derived	float64	e1a151143a433628
SWE_ibor_level	derived	float64	b7e59116b8b33c9d
SWE_ibor_mom_1m	derived	float64	51c68fd057116ede
SWE_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
SWZ_10Y	raw	float64	9df5f212ea048fa9
SWZ_15Y	raw	float64	bfcccfcecc42e886
SWZ_1M	raw	float64	37ff47ab9e82c262
SWZ_1W	raw	float64	2bf56e6372b0912d
SWZ_1Y	raw	float64	ef979af9fedc8a44
SWZ_30Y	raw	float64	a8c5a51f98f210c6
SWZ_3M	raw	float64	c2b96a10c6e7adee
SWZ_5Y	raw	float64	4e8983cac13c22dd
SWZ_6M	raw	float64	7e03b451dd23cb9c
SX5E Index  (R4)	raw	float64	bf681b33fc3cc586
TURK_10Y	raw	float64	69719577e1ceaac3
TURK_1M	raw	float64	16061ac6df9fd653
TURK_1W	raw	float64	b5c895442ad4d41f
TURK_1Y	raw	float64	df40ab20329e9d05
TURK_3M	raw	float64	7b63af4cd5cc95ed
TURK_5Y	raw	float64	d46a19b447b9697b
TURK_6M	raw	float64	3a9a8b63ba92d632
TURK_ibor_chg_1d	derived	float64	a1c242e88ef58191
TURK_ibor_level	derived	float64	1bc20d2da8120555
TURK_ibor_mom_1m	derived	float64	30357ffaf60bc34c
TURK_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
UMRTEMU Index  (R1)	raw	float64	fe4a0534869785f0
V2X Index  (L2)	raw	float64	27309ce8c3f42a47
VXN Index  (R2)	raw	float64	3d495e5d2ed8aa6b
WIBR3M Index  (L1)	raw	float64	24174e9bc4d5fa4c
^VIX	raw	float64	3bf42b24d0de282e
breakeven_10Y	raw	float64	e67bbccecb65fbe6
breakeven_10Y_chg_1m	derived	float64	1640db830116c757
breakeven_10Y_level	derived	float64	1ad94325c4bc95f0
breakeven_5Y	raw	float64	545fed84e4ae7069
breakeven_5Y_chg_1m	derived	float64	2e19eecdd076c63c
breakeven_5Y_level	derived	float64	aebe3bd33e792e6e
breakeven_slope	derived	float64	d2b86d735114eb25
copper_mom_1m	derived	float64	ebb2210aaba78b6f
cpi_nsa_level	derived	float64	e7df80979e108b53
cpi_yoy	derived	float64	2ecc461d985ccde0
ecb_dfr	derived	float64	bfff017db92b3fb5
eur_1w	derived	float64	0c02068c592fd376
eur_3m	derived	float64	ab6c6256e711672d
gvz_level	derived	float64	e64150005326b0d1
hy_chg_1m	derived	float64	516bccd4c052b8de
hy_spread	derived	float64	d5f015a931c30b8a
ig_chg_1m	derived	float64	d01dd4383fa4bfa1
ig_spread	derived	float64	64956d85bdd823a2
move_chg_1d	derived	float64	4818aff36bff5c1e
move_level	derived	float64	24d965553a5d4f81
move_zscore	derived	float64	6c7f844432f79284
mxwo_mom_1m	derived	float64	02f2fd9f72f85701
mxwo_mom_3m	derived	float64	c869ea5d3df81315
natgas_mom_1m	derived	float64	9e2516f3408a863e
nb_eurnok	derived	float64	64a87a59268b5190
nb_govt_10y	derived	float64	cf923a3a8f3b5553
nb_govt_3y	derived	float64	e6c8699dc402f2e2
nb_govt_5y	derived	float64	913f6a69f5ca26e4
nb_i44	derived	float64	d838a3f6eb82b972
nb_nowa	derived	float64	f42c268c2c541ca7
nb_polrate	derived	float64	5a681047decdc0dd
nb_usdnok	derived	float64	fd4016b58999db15
ndx_mom_1m	derived	float64	5bfcfb98dc04ae73
ndx_mom_3m	derived	float64	b2fc313711a1b480
nfp_change	derived	float64	8eb2cb7bd6d81290
nor_ecb_dfr_chg	derived	float64	46fdf636eac9638c
nor_ecb_dfr_level	derived	float64	3be5c3edeb9d3080
nor_eurnok_chg_1d	derived	float64	ccd49762b43521e5
nor_eurnok_level	derived	float64	132a539179c198f6
nor_eurnok_mom_1m	derived	float64	07a204f7b42c51f4
nor_eurnok_mom_3m	derived	float64	4f50e56768a9558d
nor_eurnok_rvol_20d	derived	float64	4af16df2d97cd5d9
nor_govt_10y	derived	float64	cf923a3a8f3b5553
