security,horizon,fold,scheme,bucket,shap_share_pct
NOR_10Y,1,GFC,walk_forward,curve,11.47859893854644
NOR_10Y,1,GFC,walk_forward,momentum,13.88575758560759
NOR_10Y,1,GFC,walk_forward,vol,14.620096233813161
NOR_10Y,1,GFC,walk_forward,macro,25.915614926072116
NOR_10Y,1,GFC,walk_forward,credit,0.0
NOR_10Y,1,GFC,walk_forward,cross_market,13.489900051331434
NOR_10Y,1,GFC,walk_forward,norway,20.006256087255892
NOR_10Y,1,GFC,walk_forward,carry_roll,0.6037761773733655
NOR_10Y,1,ZIRP_early,walk_forward,curve,2.5239514951606195
NOR_10Y,1,ZIRP_early,walk_forward,momentum,8.52674276958031
NOR_10Y,1,ZIRP_early,walk_forward,vol,8.576595669472237
NOR_10Y,1,ZIRP_early,walk_forward,macro,26.26041286367432
NOR_10Y,1,ZIRP_early,walk_forward,credit,0.0
NOR_10Y,1,ZIRP_early,walk_forward,cross_market,2.6760559275293767
NOR_10Y,1,ZIRP_early,walk_forward,norway,51.23440532150942
NOR_10Y,1,ZIRP_early,walk_forward,carry_roll,0.2018359530737164
NOR_10Y,1,ZIRP_late,walk_forward,curve,6.6909261401895295
NOR_10Y,1,ZIRP_late,walk_forward,momentum,14.979370668562172
NOR_10Y,1,ZIRP_late,walk_forward,vol,4.713713791576442
NOR_10Y,1,ZIRP_late,walk_forward,macro,35.54596643759129
NOR_10Y,1,ZIRP_late,walk_forward,credit,0.0
NOR_10Y,1,ZIRP_late,walk_forward,cross_market,13.79126629662955
NOR_10Y,1,ZIRP_late,walk_forward,norway,16.520439560505334
NOR_10Y,1,ZIRP_late,walk_forward,carry_roll,7.758317104945684
NOR_10Y,1,COVID,walk_forward,curve,12.632297032533895
NOR_10Y,1,COVID,walk_forward,momentum,12.321308448803189
NOR_10Y,1,COVID,walk_forward,vol,8.774866197322993
NOR_10Y,1,COVID,walk_forward,macro,31.450926531834373
NOR_10Y,1,COVID,walk_forward,credit,0.0
NOR_10Y,1,COVID,walk_forward,cross_market,16.43078374348594
NOR_10Y,1,COVID,walk_forward,norway,16.534760057618726
NOR_10Y,1,COVID,walk_forward,carry_roll,1.855057988400885
NOR_10Y,1,Hiking,walk_forward,curve,4.569286518738212
NOR_10Y,1,Hiking,walk_forward,momentum,17.362619619483354
NOR_10Y,1,Hiking,walk_forward,vol,7.416802127565224
NOR_10Y,1,Hiking,walk_forward,macro,31.053445809243243
NOR_10Y,1,Hiking,walk_forward,credit,0.0
NOR_10Y,1,Hiking,walk_forward,cross_market,22.506745689167552
NOR_10Y,1,Hiking,walk_forward,norway,15.698758516605533
NOR_10Y,1,Hiking,walk_forward,carry_roll,1.3923417191968839
NOR_15Y,1,GFC,walk_forward,curve,26.922305260676374
NOR_15Y,1,GFC,walk_forward,momentum,10.760141104590227
NOR_15Y,1,GFC,walk_forward,vol,12.340097377193452
NOR_15Y,1,GFC,walk_forward,macro,25.745669881461914
NOR_15Y,1,GFC,walk_forward,credit,0.0
NOR_15Y,1,GFC,walk_forward,cross_market,5.573072155224306
NOR_15Y,1,GFC,walk_forward,norway,13.488918413684026
NOR_15Y,1,GFC,walk_forward,carry_roll,5.169795807169702
NOR_15Y,1,ZIRP_early,walk_forward,curve,26.64395949961773
NOR_15Y,1,ZIRP_early,walk_forward,momentum,12.007474721942225
NOR_15Y,1,ZIRP_early,walk_forward,vol,36.015138678164874
NOR_15Y,1,ZIRP_early,walk_forward,macro,8.228061775699665
NOR_15Y,1,ZIRP_early,walk_forward,credit,0.0
NOR_15Y,1,ZIRP_early,walk_forward,cross_market,5.901426081122219
NOR_15Y,1,ZIRP_early,walk_forward,norway,11.203939243453284
NOR_15Y,1,ZIRP_early,walk_forward,carry_roll,0.0
