security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,1,Block_GFC,GFC,block_cv,chg_lag1,gain,0.011766078881919384,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,chg_lag2,gain,0.01612660475075245,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,chg_lag3,gain,0.022999845445156097,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,chg_lag4,gain,0.023767642676830292,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,chg_lag5,gain,0.016208475455641747,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,carry_roll,gain,0.01512894406914711,carry_roll
NOR_10Y,1,Block_GFC,GFC,block_cv,mom_63d,gain,0.0117164496332407,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,mom_1m,gain,0.01996774785220623,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,mom_3m,gain,0.015271136537194252,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,mom_6m,gain,0.01965947449207306,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,mom_12m,gain,0.021048089489340782,momentum
NOR_10Y,1,Block_GFC,GFC,block_cv,dev_ma_3m,gain,0.02188374660909176,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,dev_ma_12m,gain,0.02297632023692131,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,vol_20d,gain,0.018686486408114433,vol
NOR_10Y,1,Block_GFC,GFC,block_cv,vol_regime,gain,0.0,vol
NOR_10Y,1,Block_GFC,GFC,block_cv,vol_zscore,gain,0.01583060249686241,vol
NOR_10Y,1,Block_GFC,GFC,block_cv,level_zscore,gain,0.01982753723859787,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,slope_10_1,gain,0.02259620651602745,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,slope_10_5,gain,0.019652234390378,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,slope_5_1,gain,0.017475226894021034,curve
NOR_10Y,1,Block_GFC,GFC,block_cv,sofr_mom_1m,gain,0.018848832696676254,macro
NOR_10Y,1,Block_GFC,GFC,block_cv,ibor_level,gain,0.021735696122050285,macro
NOR_10Y,1,Block_GFC,GFC,block_cv,ibor_chg_1d,gain,0.021844830363988876,macro
