learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,3,0.8,0.8,1.0,1,0.012827754111258817,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,5,0.012827754111258817,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,1,0.012852766792274213,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,5,0.012852766792274213,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,1,0.012846763053532684,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,5,0.012846763053532684,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,1,0.012842091001018994,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,5,0.012840803385094612,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,1,0.012817625025412421,5,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,5,0.012817625025412421,5,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,1,0.012840034016087434,6,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,5,0.012840034016087434,6,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,1,0.012828284905226302,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,5,0.012828284905226302,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,1,0.012854634355307367,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,5,0.012854634355307367,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,1,0.012828199973218444,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,5,0.012828199973218444,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,1,0.012828284905226302,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,5,0.012828284905226302,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,1,0.012854634355307367,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,5,0.012854634355307367,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,1,0.012828199973218444,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,5,0.012828199973218444,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,1,0.012815447491591811,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,5,0.012815447491591811,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,1,0.01286038010341931,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,5,0.012859547523796382,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,1,0.012852737983535775,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,5,0.012852254869144425,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,1,0.01279129245681065,7,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,5,0.012784632078740936,7,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,1,0.012857730265646425,2,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,5,0.012856953962742402,2,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,10.0,1,0.012853931322918375,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,0.8,1.0,10.0,5,0.012853448208527022,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,1.0,0.8,1.0,1,0.012809893391094163,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,1.0,0.8,1.0,5,0.012809893391094163,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,1.0,0.8,5.0,1,0.012844615646705176,1,False,NOR_10Y,21,GFC,GFC,walk_forward
0.01,5,1.0,0.8,5.0,5,0.012844615646705176,1,False,NOR_10Y,21,GFC,GFC,walk_forward
