learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,3,0.8,0.8,1.0,1,0.04099005076951174,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,5,0.04099005076951174,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,1,0.04111297673295269,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,5,0.04111297673295269,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,1,0.0410146005269358,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,5,0.04110811315041365,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,1,0.04110641795674433,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,5,0.04110641795674433,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,1,0.04113807701726598,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,5,0.04113807701726598,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,1,0.04093585269784239,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,5,0.041029365321320246,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,1,0.040983779711396884,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,5,0.040983779711396884,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,1,0.04108511634664417,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,5,0.04108511634664417,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,1,0.04101502819178112,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,5,0.041017173936574974,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,1,0.04110670049931042,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,5,0.04110670049931042,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,1,0.04110077328286125,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,5,0.04110077328286125,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,1,0.041040467100289385,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,5,0.04104261284508324,1,False,NOR_10Y,126,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,1,0.04095022786996379,1,False,NOR_10Y,126,GFC,GFC,walk_forward
