learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,3,0.8,0.8,1.0,1,0.0010606043451702706,20,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,5,0.001061085193340634,15,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,1,0.0010618080781569538,14,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,5,0.0010591466538924482,14,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,1,0.0010612829019854937,45,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,5,0.0010606307998999454,21,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,1,0.0010523497232893615,102,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,5,0.0010592455426834575,34,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,1,0.0010576384207148404,23,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,5,0.0010538354620846858,102,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,1,0.001056478456266638,23,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,5,0.0010569380073506512,22,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,1,0.0010410837731592625,154,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,5,0.0010463113451131584,137,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,1,0.001053725936279634,65,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,5,0.0010473247419834726,150,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,1,0.0010317857267799753,206,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,5,0.0010455022001458502,98,False,NOR_10Y,1,GFC,GFC,walk_forward
