security,horizon,fold,scheme,bucket,shap_share_pct
NOR_1Y,21,GFC,walk_forward,cross_market,0.0
NOR_1Y,21,GFC,walk_forward,norway,27.73613992708338
NOR_1Y,21,GFC,walk_forward,carry_roll,0.0
NOR_1Y,21,ZIRP_early,walk_forward,curve,15.898154095872295
NOR_1Y,21,ZIRP_early,walk_forward,momentum,5.59406014132767
NOR_1Y,21,ZIRP_early,walk_forward,vol,3.7301220286670427
NOR_1Y,21,ZIRP_early,walk_forward,macro,37.76435524882604
NOR_1Y,21,ZIRP_early,walk_forward,credit,0.0
NOR_1Y,21,ZIRP_early,walk_forward,cross_market,0.2730572768926505
NOR_1Y,21,ZIRP_early,walk_forward,norway,34.71133685961598
NOR_1Y,21,ZIRP_early,walk_forward,carry_roll,2.02891434879832
NOR_1Y,21,ZIRP_late,walk_forward,curve,44.09583755731698
NOR_1Y,21,ZIRP_late,walk_forward,momentum,1.733218602306251
NOR_1Y,21,ZIRP_late,walk_forward,vol,6.284594950904937
NOR_1Y,21,ZIRP_late,walk_forward,macro,18.57532248437746
NOR_1Y,21,ZIRP_late,walk_forward,credit,0.0
NOR_1Y,21,ZIRP_late,walk_forward,cross_market,0.0
NOR_1Y,21,ZIRP_late,walk_forward,norway,18.567113428476794
NOR_1Y,21,ZIRP_late,walk_forward,carry_roll,10.743912976617574
NOR_1Y,21,COVID,walk_forward,curve,22.845657640660452
NOR_1Y,21,COVID,walk_forward,momentum,4.202168711245102
NOR_1Y,21,COVID,walk_forward,vol,5.421634424192726
NOR_1Y,21,COVID,walk_forward,macro,36.2329465306058
NOR_1Y,21,COVID,walk_forward,credit,0.0
NOR_1Y,21,COVID,walk_forward,cross_market,0.0
NOR_1Y,21,COVID,walk_forward,norway,27.080619021095675
NOR_1Y,21,COVID,walk_forward,carry_roll,4.216973672200242
NOR_1Y,21,Hiking,walk_forward,curve,5.281979371323644
NOR_1Y,21,Hiking,walk_forward,momentum,22.488125516956423
NOR_1Y,21,Hiking,walk_forward,vol,1.364079535148546
NOR_1Y,21,Hiking,walk_forward,macro,41.969584527236194
NOR_1Y,21,Hiking,walk_forward,credit,0.0
NOR_1Y,21,Hiking,walk_forward,cross_market,0.025531137675424153
NOR_1Y,21,Hiking,walk_forward,norway,24.741819271555556
NOR_1Y,21,Hiking,walk_forward,carry_roll,4.128880640104214
NOR_30Y,21,GFC,walk_forward,curve,28.891119567240697
NOR_30Y,21,GFC,walk_forward,momentum,15.874264999827908
NOR_30Y,21,GFC,walk_forward,vol,4.721416568923193
NOR_30Y,21,GFC,walk_forward,macro,26.47068373915753
NOR_30Y,21,GFC,walk_forward,credit,0.0
NOR_30Y,21,GFC,walk_forward,cross_market,3.7551013022521085
NOR_30Y,21,GFC,walk_forward,norway,18.60031175791919
NOR_30Y,21,GFC,walk_forward,carry_roll,1.687102064679374
NOR_30Y,21,ZIRP_early,walk_forward,curve,30.760098474418843
NOR_30Y,21,ZIRP_early,walk_forward,momentum,16.94228009572289
NOR_30Y,21,ZIRP_early,walk_forward,vol,0.0
NOR_30Y,21,ZIRP_early,walk_forward,macro,32.75865478691098
NOR_30Y,21,ZIRP_early,walk_forward,credit,0.0
NOR_30Y,21,ZIRP_early,walk_forward,cross_market,0.0
NOR_30Y,21,ZIRP_early,walk_forward,norway,19.538966642947283
NOR_30Y,21,ZIRP_early,walk_forward,carry_roll,0.0
NOR_30Y,21,ZIRP_late,walk_forward,curve,23.824184374905744
NOR_30Y,21,ZIRP_late,walk_forward,momentum,6.914736721238025
NOR_30Y,21,ZIRP_late,walk_forward,vol,2.9259144489696167
NOR_30Y,21,ZIRP_late,walk_forward,macro,39.37040963021495
