security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,126,Block_GFC,GFC,block_cv,chg_lag1,gain,0.0,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,chg_lag2,gain,0.0,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,chg_lag3,gain,0.0,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,chg_lag4,gain,0.0,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,chg_lag5,gain,0.02008441835641861,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,carry_roll,gain,2.595392942428589,carry_roll
NOR_10Y,126,Block_GFC,GFC,block_cv,mom_63d,gain,0.9418421387672424,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,mom_1m,gain,5.261650085449219,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,mom_3m,gain,0.6259818077087402,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,mom_6m,gain,0.6671841144561768,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,mom_12m,gain,7.599002838134766,momentum
NOR_10Y,126,Block_GFC,GFC,block_cv,dev_ma_3m,gain,2.193462371826172,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,dev_ma_12m,gain,0.7282485961914062,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,vol_20d,gain,1.24860417842865,vol
NOR_10Y,126,Block_GFC,GFC,block_cv,vol_regime,gain,0.0,vol
NOR_10Y,126,Block_GFC,GFC,block_cv,vol_zscore,gain,0.0,vol
NOR_10Y,126,Block_GFC,GFC,block_cv,level_zscore,gain,6.571727275848389,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,slope_10_1,gain,14.054718017578125,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,slope_10_5,gain,15.607413291931152,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,slope_5_1,gain,0.9862065315246582,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,sofr_mom_1m,gain,0.00444793701171875,macro
NOR_10Y,126,Block_GFC,GFC,block_cv,ibor_level,gain,0.02181720733642578,macro
NOR_10Y,126,Block_GFC,GFC,block_cv,ibor_chg_1d,gain,0.0,macro
NOR_10Y,126,Block_GFC,GFC,block_cv,ibor_mom_1m,gain,0.3468581736087799,macro
NOR_10Y,126,Block_GFC,GFC,block_cv,ibor_term_slope,gain,0.8696146011352539,macro
NOR_10Y,126,Block_GFC,GFC,block_cv,swap_ibor_basis,gain,17.403114318847656,curve
NOR_10Y,126,Block_GFC,GFC,block_cv,move_level,gain,0.0,vol
