learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,3,0.8,0.8,1.0,1,0.022112024853748097,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,5,0.022112035360388978,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,1,0.022040801499774998,31,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,5,0.02194065714550455,31,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,1,0.02176703070699264,32,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,5,0.021766342755543067,32,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,1,0.02219198465697503,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,5,0.022191977528403965,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,1,0.022026025386516622,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,5,0.021991147019349996,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,1,0.02191978169968639,31,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,5,0.021918815752769886,31,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,1,0.021315647483225262,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,5,0.0213156473252062,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,1,0.02148204147025846,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,5,0.02145938874354975,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,1,0.021633841209994335,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,5,0.021632075820346052,29,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,1,0.02136200833423988,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,5,0.02136200833423988,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,1,0.02159244258735677,26,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,5,0.021436526249261678,21,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,1,0.021421363458337467,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,5,0.021395890500390518,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,1,0.022436993230438358,27,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,5,0.022323132145961842,27,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,1,0.022405352355136878,30,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,5,0.022651041108495692,30,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,1,0.02164359629168948,32,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,5,0.022114210536853526,32,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,1,0.022681456099114643,20,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,5,0.022895971855066623,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,1,0.022250020131746914,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,5,0.02241805793408767,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,10.0,1,0.021873576385103836,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,0.8,1.0,10.0,5,0.02184751394508394,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,1.0,1,0.020661607925737728,40,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,1.0,5,0.021308874868983533,30,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,5.0,1,0.022529167885482423,23,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,5.0,5,0.02269452195658915,27,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,10.0,1,0.021451265337455255,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,0.8,10.0,5,0.021449629488056864,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,1.0,1,0.021292113387756488,24,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,1.0,5,0.02134529821442522,24,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,5.0,1,0.02272267663280707,21,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,5.0,5,0.022948800993455115,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,10.0,1,0.02187035991595588,22,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,5,1.0,1.0,10.0,5,0.02187035991595588,22,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,1.0,1,0.022179056206058218,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,1.0,5,0.022178963185654998,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,5.0,1,0.0221857775801546,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,5.0,5,0.022186451253980773,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,10.0,1,0.020666890251514847,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,0.8,10.0,5,0.02066655738589419,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,1.0,1,0.020364505451654084,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,1.0,5,0.020364501837138806,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,5.0,1,0.020952348243954443,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,5.0,5,0.020379160888796887,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,10.0,1,0.02087491260004481,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,0.8,1.0,10.0,5,0.020875005980205127,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,1.0,1,0.02246932582241295,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,1.0,5,0.02246932582241295,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,5.0,1,0.02245131971420908,8,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,5.0,5,0.022436473192872706,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,10.0,1,0.02248104367516812,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,0.8,10.0,5,0.022481042485074893,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,1.0,1,0.021406396461607243,4,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,1.0,5,0.021406396461607243,4,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,5.0,1,0.020992180931208446,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,5.0,5,0.020992180946043482,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,10.0,1,0.021297488033267534,5,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,3,1.0,1.0,10.0,5,0.02129748804148009,5,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,5,0.8,0.8,1.0,1,0.023323206305625784,2,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,5,0.8,0.8,1.0,5,0.022958613112702107,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,5,0.8,0.8,5.0,1,0.022223893305293778,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,5,0.8,0.8,5.0,5,0.022443816245397936,8,False,NOR_10Y,63,GFC,GFC,walk_forward
