learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.05,3,0.8,1.0,1.0,1,0.0027765946179165225,26,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,0.8,1.0,1.0,5,0.0028004103907578294,25,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,0.8,1.0,5.0,1,0.0028030992998808223,32,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,0.8,1.0,5.0,5,0.002789070841898075,31,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,0.8,1.0,10.0,1,0.002797370694189327,25,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,0.8,1.0,10.0,5,0.002807648934686106,25,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,1.0,1,0.0028099625174511558,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,1.0,5,0.002789416480523275,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,5.0,1,0.0027976708125248126,6,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,5.0,5,0.002784904523201042,47,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,10.0,1,0.0027750685436939747,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,0.8,10.0,5,0.0027740382755222204,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,1.0,1,0.0028103404974812404,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,1.0,5,0.0028103404974812404,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,5.0,1,0.002799572232262305,32,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,5.0,5,0.0027566141493755793,47,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,10.0,1,0.002804143215569574,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,3,1.0,1.0,10.0,5,0.002793605083388407,18,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,0.8,1.0,1,0.0027756245452304614,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,0.8,1.0,5,0.002799008829249117,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,0.8,5.0,1,0.002773831129519918,19,False,NOR_10Y,5,GFC,GFC,walk_forward
