notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,xgb_n_trees,xgb_max_depth,xgb_lr
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,train,0e827214ec48,108,21,3548,0.5543968432919955,1.0,0.04925765097796575,0.024609744462877503,0.025928787977733937,0.12103118281057576,0.050871776806117874,5.155393003842751,1.265497651115055e-07,4.915502611358138,4.628325779320267e-07,10.728637682668218,0.0,4.908770129775212e-11,169,12,0.757420936174279,1,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_GFC,GFC,oos,0e827214ec48,108,21,1422,0.4353023909985935,1.0,-0.01594315814198133,0.023109942222110276,0.022990421592827007,0.11880206375562608,-0.0051987141166893736,-1.2268441489247364,0.8900594131546238,-1.3429487513461633,0.9102484865494761,,,0.9999995506395303,68,12,0.757420936174279,1,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,train,acea49451794,108,21,3184,0.615891959798995,1.0,0.11700254944846067,0.027082951859961246,0.03077986361494975,0.12872278161973671,0.1201081265737941,5.857021849140784,2.356205786036014e-09,5.57989386642198,1.3041363398793967e-08,16.29776880403742,0.0,1.260385627858771e-39,152,12,0.7390066457222813,4,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_ZIRP,ZIRP,oos,acea49451794,108,21,1790,0.45083798882681564,1.0,-0.041597253808826284,0.014748900523255894,0.014258015351955306,0.09888277523481022,-0.03442871670307679,-1.196330609103673,0.8842162157724578,-1.8778217399543444,0.9697159440960058,-0.7430600311019243,0.7712773317027923,0.9999858537986409,85,12,0.7390066457222813,4,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,train,03ad5402bca6,108,21,4421,0.697127346754128,1.0,0.2668176549719553,0.01834188078281532,0.025016922334313504,0.1066372839588055,0.26682105265772915,6.070637468586165,6.370175498204844e-10,6.187767204902492,3.327485886525912e-10,26.72239136218157,0.0,1.0332390936801434e-155,211,12,0.7268439189514931,8,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_COVID,COVID,oos,03ad5402bca6,108,21,542,0.47601476014760147,1.0,-0.3598039856596975,0.035686155544008245,0.02626074260147601,0.15622643432317823,-0.3589164665131164,0.2821179971835048,0.388926516872783,-2.64068705955666,0.9957435721148754,-3.0428101503334033,0.9988280992487377,0.8769370091508295,26,12,0.7268439189514931,8,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_Hiking,Hiking,train,fae0a45b64a2,108,21,3892,0.6608427543679343,1.0,0.10391143720658946,0.016793598741337717,0.018818983304213773,0.10294317787292405,0.10762454751859796,4.611876352564676,1.9952517786858692e-06,4.510580842322033,3.3278495664708954e-06,21.695692318419763,0.0,2.5816063065319314e-91,185,12,0.7138158112075502,2,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_10Y,NOR,10Y,Block_Hiking,Hiking,oos,fae0a45b64a2,108,21,1111,0.42934293429342935,1.0,-0.06873812508982224,0.04841412110719393,0.04649300753375338,0.17524544840552028,-0.04132048398989574,-0.900242551844703,0.8160044070769564,-1.5700960428594375,0.9416611173246939,2.3001712967221137,0.010719258648727914,0.9999989724393155,53,12,0.7138158112075502,2,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_15Y,NOR,15Y,Block_GFC,GFC,train,0b860e8a198f,108,21,3530,0.7558073654390934,1.0,0.23106257269717823,0.018265600218277916,0.023767988022719545,0.10650495114221932,0.23150414747693238,6.49599131011605,4.124423025331225e-11,6.55741244354012,3.136038234020803e-11,31.170090417854862,0.0,7.96022260958729e-213,168,12,0.7575050905926912,7,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,block_cv,level_change,NOR_15Y,NOR,15Y,Block_GFC,GFC,oos,0b860e8a198f,108,21,1425,0.48912280701754385,1.0,0.006290597803845999,0.022118513803493698,0.022347653508771926,0.1147947513936442,0.010253412296207576,0.8745782191920255,0.19090172160300967,0.44842877263911607,0.326956001437845,-0.7437527810238878,0.7714869742630834,0.8016937650136188,68,12,0.7575050905926912,7,5,0.05
