notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,lookback,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,GFC,GFC,train,6e63a9429d93,1,948,0.5685654008438819,1.0,0.03933490409940488,0.0026121944554072774,0.0027196323417721523,0.031155674003897862,0.03950456269940772,2.787248268477042,0.0026578868202450368,1.4109335406280528,0.07929631319503165,3.676479947879394,0.00011823721693138278,1.359172370290408e-05,948,20,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,GFC,GFC,oos,6e63a9429d93,1,589,0.5042444821731749,1.0,-0.02161215419141138,0.0008540121399925313,0.0008381524702886249,0.01873726969451521,-0.018922177367615367,-0.19666683118048883,0.577955865993585,-1.3853677500850596,0.9167673318692804,0.8186264544687705,0.2064997844423705,0.43455291118419864,589,20,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,train,6e63a9429d93,1,1307,0.48967100229533284,1.0,0.001976817017771748,0.0022659045910146842,0.00227636042654935,0.028357926023455472,0.00459322496240866,2.3620548658082527,0.009086976140566305,1.1800293424275858,0.11910171732939587,1.1799362640039124,0.11901278267082716,0.7806759350248095,1307,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1040,0.4875,1.0,-0.009532313759553102,0.0003040850961101964,0.00030178211538461533,0.010885590640171052,-0.007631269741236846,1.2673966784627557,0.10250674343851407,-0.8511988536269525,0.8025724851502647,,,0.7987639412631353,1040,250,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,train,6e63a9429d93,1,2592,0.4992283950617284,1.0,0.008659316215638535,0.0012980210877050788,0.0013100322193287039,0.020135440932685756,0.009168577265817102,1.5362350725418663,0.062240368516082833,0.7661851974491042,0.22181795505125806,2.6480052440479556,0.004048413460828182,0.5391156990436223,2592,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,oos,6e63a9429d93,1,779,0.4749679075738126,1.0,-0.01636723031564702,0.00011379088336285242,0.00011295843388960214,0.007190290538276724,-0.007369520314559841,0.3831071655613879,0.35082015343645423,-0.8866220681910254,0.8122218061250218,2.6671075661624806,0.003825359035826481,0.9241153996500937,779,5,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,COVID,COVID,train,6e63a9429d93,1,3366,0.5103980986333928,1.0,0.027096314994357273,0.0010054448059697654,0.0010336340181224008,0.017163547366644417,0.027271946993231877,2.496956303372275,0.006263219567526845,1.3059705346845836,0.09582592281939561,4.567754988235758,2.4648789550552053e-06,0.11715808759463975,3366,10,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,COVID,COVID,oos,6e63a9429d93,1,548,0.5547445255474452,1.0,0.07981516841470404,0.0005029327561427339,0.0005479150751824819,0.010213068842714987,0.0820972465938572,2.3659048578186663,0.008993032948569013,1.5859347556292438,0.05666600076709135,4.608824048870039,2.024764222952058e-06,0.0058276136206088834,548,10,False,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,Hiking,Hiking,train,6e63a9429d93,1,3915,0.5174968071519795,1.0,0.03145860695383729,0.0009348096740116786,0.0009654538457726695,0.016210479369345623,0.03174069055208517,2.9277034875675803,0.0017073776407346974,1.5324721779268795,0.06274338863702913,6.094208457528458,5.499013466803149e-10,0.014862358080876452,3915,10,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,1,Hiking,Hiking,oos,6e63a9429d93,1,1130,0.5247787610619469,1.0,-0.009626078339887378,0.0013071949967097872,0.0013049186371681411,0.023831303021826008,-0.0017444455744659582,2.3145093505746344,0.010319899470130012,-0.1456634572740616,0.5578934639948345,1.980673905017746,0.02381392749220368,0.050882789159706995,1130,10,False,False,150.0,walk_forward:{horizon×tenor×regime}
