validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,lambda_grid_value
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,463,0.4514038876889849,1.0,-0.01688986840251694,0.0008754993323777002,0.0008631923434125272,0.01977891331097217,-0.014257527953177584,-0.8825643808817945,0.811264159708817,-1.9229442917285011,0.9724492934977667,-0.835117615125623,0.7981742552180286,0.9837894200662585,463,12,0.7898669733172995,61,2,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,829,0.48009650180940894,1.0,-0.004376343662765958,0.00033681569319485164,0.0003362258986731001,0.011206594212851933,-0.0017541614851179776,0.46530393791483643,0.32085690757905505,-0.3414645082799237,0.6335797220801644,-0.8704906344699476,0.8079838324189464,0.8811818497672542,829,12,0.7548704540441938,16,3,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,622,0.4292604501607717,1.0,-0.05198904748338884,0.0001274988779155597,0.00012230988745980714,0.0076331372538540375,-0.042424946694990195,-2.2070731647571855,0.9863455258855464,-4.177009915667068,0.9999831160219086,0.0,0.5,0.9998243679741565,622,12,0.7526999810295681,57,6,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,443,0.5124153498871332,1.0,0.005731351874138646,0.0004292069427675802,0.00043180303792325056,0.010020480751097518,0.0060122206831990654,1.8648782019731331,0.031099239249821164,1.2385463280779665,0.10808546206516517,2.876539397923659,0.0020103100038432187,0.3173775051057822,443,12,0.7362911955234973,31,2,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,908,0.5605726872246696,1.0,0.0002300792648687322,0.0012412390938115923,0.0012525415859030832,0.023770654355310745,0.009023646175661204,3.6303118338615223,0.00014153950591067055,3.175660116777036,0.0007727181813421453,4.661581286049712,1.5689454366807354e-06,0.00014654904757709214,908,12,0.7261693476587756,20,7,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,463,0.46436285097192226,1.0,-0.015497242035073855,0.0008743003397504421,0.0008631923434125272,0.019774258012367242,-0.01286850656482974,-0.3764495325256542,0.6467086360662333,-1.4565165722104247,0.9270354336205389,-0.25858476695233984,0.6020221810993802,0.9430083517755059,463,12,0.7898669733172995,47,2,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,829,0.503015681544029,1.0,-0.00013547406992175937,0.0003353935256570801,0.0003362258986731001,0.01118239371680258,0.002475636229406719,1.3487345762925684,0.08871111770104267,0.6259161158733073,0.26577122781105766,,,0.4447598352086719,829,12,0.7548704540441938,3,3,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,622,0.409967845659164,1.0,-0.03464036334617315,0.00012539625359062214,0.00012230988745980714,0.007545090026431858,-0.025233987169101413,-1.6494553477064477,0.950472808108288,-3.219152735352231,0.999323641175743,-2.234397787527567,0.9872715444219207,0.999997225532195,622,12,0.7526999810295681,28,6,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,443,0.5169300225733634,1.0,0.006307490949596373,0.0004289582344414631,0.00043180303792325056,0.010040827033332124,0.0065881970063700335,1.8796200301289663,0.030079940712870457,1.161771590145686,0.12297761096272201,3.270948012956996,0.0005359380639167188,0.2529964980733961,443,12,0.7362911955234973,33,1,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,908,0.5649779735682819,1.0,0.001802245864336971,0.001239287210078373,0.0012525415859030832,0.02372833094167055,0.010581984641375275,3.341535473533025,0.00041658184663473374,2.6244898376321517,0.004411905338776728,4.932037349455892,4.068817573976702e-07,5.057270778658813e-05,908,12,0.7261693476587756,82,1,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,463,0.45788336933045354,1.0,-0.01998136444164844,0.000878160980214314,0.0008631923434125272,0.01986127353287546,-0.01734102128687809,-0.7617078690105985,0.7768828111104557,-2.0030903471057373,0.9771243765082287,-0.6331731851857959,0.7366897227625637,0.9685417262361529,463,12,0.7898669733172995,26,2,0.2
