validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,952,0.6218487394957983,1.0,0.07632697192342075,0.021915296594626738,0.02372632635241597,0.11266366880993758,0.07632996911908452,3.0744521662430064,0.0010544476830071092,1.6156628113605687,0.053249455305770056,7.9313445505924856,1.1102230246251565e-15,2.6639984039659995e-14,45,12,0.7770128708952097,2087,6
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,637,0.5180533751962323,1.0,-0.07233366181957934,0.020543660153452655,0.019841660078492935,0.11347327870749978,-0.0353801079235625,0.7159837204964631,0.23700070056624023,-0.5753020642829789,0.7173547512054284,1.9431518969989134,0.025998904069526096,0.19170128296525402,30,12,0.7770128708952097,2087,6
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,1592,0.5464824120603015,1.0,0.010288327156506516,0.021848792420301476,0.02219740913316583,0.11443369838463133,0.015705288431318576,1.647082647962202,0.04977052960455475,1.1703941972121992,0.12100882469474963,,,0.00011361081097194271,76,12,0.7375492560561354,6,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,1008,0.560515873015873,1.0,-0.002383539232607257,0.01610735706804069,0.01640845239087302,0.10442688598828982,0.018350013496690742,1.4753465269905992,0.07005970182543297,0.9836495387427072,0.16276206459060313,0.0,0.5,6.797426806955292e-05,48,12,0.7375492560561354,6,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,2597,0.5579514824797843,1.0,0.03115633400744644,0.019188764542309014,0.019965668228725454,0.1093551658990753,0.03891198018099262,3.1382707287739344,0.0008497391463674342,2.4578906718133373,0.007020241173448944,6.081997936990813,5.934704949694947e-10,1.8931390786813475e-09,124,12,0.736867426401796,128,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,782,0.4961636828644501,1.0,-0.02627586010285632,0.01178672364259531,0.011486096508951407,0.08682849900952404,-0.026173133179720143,-0.09169309075844818,0.5365290564787425,-0.7566207714067889,0.7752473658948332,-2.9280590158070443,0.9982945735149906,0.5988201705965803,37,12,0.736867426401796,128,1
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,3379,0.5383249482095295,1.0,0.0006222115774129344,0.017918128111141112,0.01802735955904114,0.1054892599191123,0.006059203930685708,1.3647391575104748,0.08616752384756643,0.7146520646229526,0.237436723578451,,,4.488700795862406e-06,161,12,0.7225792927186583,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,542,0.45571955719557194,1.0,-0.0064830826379376205,0.026413742140934574,0.02626074260147601,0.1289960722891607,-0.00582616957107529,-0.10330909642105225,0.5411411718246355,-0.2842943752357032,0.6118532119465601,,,0.9823909990698267,26,12,0.7225792927186583,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,3918,0.6092394078611536,1.0,0.11603285452532597,0.01661042237290011,0.018878722018887188,0.1015065379032088,0.1201511227146499,4.95417130762276,3.631959564209808e-07,4.400341657220886,5.547882314197851e-06,13.738265364896154,0.0,4.166453063547173e-43,187,12,0.7133090884657112,14,3
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,1111,0.43114311431143115,1.0,-0.10957274050080512,0.050263940038007174,0.04649300753375338,0.17900165724480344,-0.08110751926547533,-1.3732561918402124,0.9151636418053483,-2.004546772902919,0.9773729731988005,1.8356381108589352,0.03320559837297188,0.9999981479637527,53,12,0.7133090884657112,14,3
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,937,0.6029882604055496,1.0,0.0702599607438027,0.01983007455477732,0.02132908564567769,0.10785389947436409,0.07028013838953018,2.997721415638634,0.0013600309569908875,1.6098144082977797,0.05388777889482489,6.581230528132575,2.3328561304936102e-11,1.5460745191464745e-10,45,12,0.7777857729638482,2087,1
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,650,0.5061538461538462,1.0,-0.05018875220358865,0.022660362356321795,0.021844615384615386,0.11688077991238008,-0.03734316019502537,0.36190250901014415,0.35871244246883494,-0.6994950868847789,0.7577533462199282,1.0814289690776024,0.1397531706158024,0.391838689759306,31,12,0.7777857729638482,2087,1
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,1587,0.55765595463138,1.0,0.0412843749612104,0.02064876703433312,0.02159579206049149,0.11086731199671561,0.04385229416479275,2.777907229285604,0.0027355118018941305,2.5853777401387297,0.004907879832414915,3.5573784406960334,0.00018728717078886348,2.3995031857748417e-06,76,12,0.7384426662595605,5,1
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T15:41:42.207235+00:00,per_security,False,21,1028,0.5933852140077821,1.0,-0.013102112823446976,0.01605063851030657,0.01620197543774319,0.10396703961739805,0.00934064664016665,1.4820482686288656,0.06916372602179599,1.143363425249914,0.12657708861801445,3.7214846901197918,9.902743773826383e-05,1.1575882477605642e-09,49,12,0.7384426662595605,5,1
