security,horizon,fold,feature,relevance
NOR_10Y,252,ZIRP_early,xmpca_08,0.0
NOR_10Y,252,ZIRP_early,xmpca_09,0.0
NOR_10Y,252,ZIRP_early,xmpca_10,0.0
NOR_10Y,252,ZIRP_early,xmpca_11,0.0
NOR_10Y,252,ZIRP_early,xmpca_12,0.0
NOR_10Y,252,ZIRP_late,chg_lag1,0.0
NOR_10Y,252,ZIRP_late,chg_lag2,0.0
NOR_10Y,252,ZIRP_late,chg_lag3,0.0
NOR_10Y,252,ZIRP_late,chg_lag4,0.0
NOR_10Y,252,ZIRP_late,chg_lag5,0.0
NOR_10Y,252,ZIRP_late,carry_roll,0.0
NOR_10Y,252,ZIRP_late,mom_63d,0.0
NOR_10Y,252,ZIRP_late,mom_1m,0.0
NOR_10Y,252,ZIRP_late,mom_3m,0.0
NOR_10Y,252,ZIRP_late,mom_6m,0.0
NOR_10Y,252,ZIRP_late,mom_12m,0.0
NOR_10Y,252,ZIRP_late,dev_ma_3m,0.0
NOR_10Y,252,ZIRP_late,dev_ma_12m,0.0
NOR_10Y,252,ZIRP_late,vol_20d,0.0
NOR_10Y,252,ZIRP_late,vol_regime,0.5203783512115479
NOR_10Y,252,ZIRP_late,vol_zscore,0.0
NOR_10Y,252,ZIRP_late,level_zscore,0.0
NOR_10Y,252,ZIRP_late,slope_10_1,55.260459899902344
NOR_10Y,252,ZIRP_late,slope_10_5,0.0
NOR_10Y,252,ZIRP_late,slope_5_1,0.0
NOR_10Y,252,ZIRP_late,sofr_mom_1m,0.0
NOR_10Y,252,ZIRP_late,ibor_level,0.0
NOR_10Y,252,ZIRP_late,ibor_chg_1d,0.0
NOR_10Y,252,ZIRP_late,ibor_mom_1m,0.0
NOR_10Y,252,ZIRP_late,ibor_term_slope,0.0
NOR_10Y,252,ZIRP_late,swap_ibor_basis,0.0
NOR_10Y,252,ZIRP_late,move_level,0.0
NOR_10Y,252,ZIRP_late,move_zscore,0.0
NOR_10Y,252,ZIRP_late,vix_level,0.0
NOR_10Y,252,ZIRP_late,vix_zscore,0.0
NOR_10Y,252,ZIRP_late,v2x_level,0.0
NOR_10Y,252,ZIRP_late,vxn_level,0.0
NOR_10Y,252,ZIRP_late,ovx_level,0.0
NOR_10Y,252,ZIRP_late,gvz_level,0.0
NOR_10Y,252,ZIRP_late,spx_mom_1m,0.0
NOR_10Y,252,ZIRP_late,spx_mom_3m,0.0
NOR_10Y,252,ZIRP_late,sx5e_mom_1m,0.0
NOR_10Y,252,ZIRP_late,sx5e_mom_3m,0.0
NOR_10Y,252,ZIRP_late,mxwo_mom_1m,0.0
NOR_10Y,252,ZIRP_late,ndx_mom_1m,0.0
NOR_10Y,252,ZIRP_late,oil_mom_1m,0.0
NOR_10Y,252,ZIRP_late,oil_mom_3m,0.0
NOR_10Y,252,ZIRP_late,copper_mom_1m,0.0
NOR_10Y,252,ZIRP_late,opec_prod,0.0
NOR_10Y,252,ZIRP_late,natgas_mom_1m,0.0
NOR_10Y,252,ZIRP_late,be5y_level,0.0
NOR_10Y,252,ZIRP_late,be10y_level,0.0
NOR_10Y,252,ZIRP_late,be_slope,0.0
NOR_10Y,252,ZIRP_late,be5y_chg_1m,0.0
NOR_10Y,252,ZIRP_late,ig_spread,0.0
NOR_10Y,252,ZIRP_late,hy_spread,0.0
NOR_10Y,252,ZIRP_late,ig_chg_1m,0.0
NOR_10Y,252,ZIRP_late,hy_chg_1m,0.0
NOR_10Y,252,ZIRP_late,cpi_yoy,0.0
NOR_10Y,252,ZIRP_late,pce_core_chg,0.0
NOR_10Y,252,ZIRP_late,nfp_change,0.0
NOR_10Y,252,ZIRP_late,pmi_us,0.0
NOR_10Y,252,ZIRP_late,pmi_eur,0.0
NOR_10Y,252,ZIRP_late,unemp_eur,0.0
NOR_10Y,252,ZIRP_late,cpi_nsa_level,0.0
NOR_10Y,252,ZIRP_late,pce_core_level,0.0
NOR_10Y,252,ZIRP_late,eur_3m,0.0
NOR_10Y,252,ZIRP_late,eur_1w,0.0
NOR_10Y,252,ZIRP_late,nor_ibor_1m,0.0
NOR_10Y,252,ZIRP_late,nor_ibor_6m,0.0
NOR_10Y,252,ZIRP_late,nor_ecb_dfr_chg,0.0
NOR_10Y,252,ZIRP_late,nor_ecb_dfr_level,0.0
NOR_10Y,252,ZIRP_late,nor_eurnok_chg_1d,0.0
NOR_10Y,252,ZIRP_late,nor_eurnok_level,0.0
NOR_10Y,252,ZIRP_late,nor_eurnok_mom_1m,0.0
NOR_10Y,252,ZIRP_late,nor_eurnok_mom_3m,0.0
NOR_10Y,252,ZIRP_late,nor_eurnok_rvol_20d,0.0
NOR_10Y,252,ZIRP_late,nor_govt_10y,0.0
NOR_10Y,252,ZIRP_late,nor_govt_3y,0.0
NOR_10Y,252,ZIRP_late,nor_govt_5y,0.0
NOR_10Y,252,ZIRP_late,nor_i44_chg_1d,0.0
NOR_10Y,252,ZIRP_late,nor_i44_level,0.0
NOR_10Y,252,ZIRP_late,nor_i44_mom_1m,0.0
NOR_10Y,252,ZIRP_late,nor_i44_mom_3m,0.0
NOR_10Y,252,ZIRP_late,nor_i44_rvol_20d,0.0
NOR_10Y,252,ZIRP_late,nor_kpi_yoy,0.0
NOR_10Y,252,ZIRP_late,nor_kpijae_yoy,0.0
NOR_10Y,252,ZIRP_late,nor_nibor_nowa_spread,0.0
NOR_10Y,252,ZIRP_late,nor_nowa_level,0.0
NOR_10Y,252,ZIRP_late,nor_polrate_chg_1d,0.0
NOR_10Y,252,ZIRP_late,nor_polrate_days_since_chg,0.0
NOR_10Y,252,ZIRP_late,nor_polrate_level,0.0
NOR_10Y,252,ZIRP_late,nor_rb_rate_chg,0.0
NOR_10Y,252,ZIRP_late,nor_rb_rate_level,0.0
NOR_10Y,252,ZIRP_late,nor_unemp,0.0
NOR_10Y,252,ZIRP_late,nor_usdnok_chg_1d,0.0
NOR_10Y,252,ZIRP_late,nor_usdnok_level,0.0
NOR_10Y,252,ZIRP_late,nor_usdnok_mom_1m,0.0
NOR_10Y,252,ZIRP_late,nor_usdnok_mom_3m,0.0
NOR_10Y,252,ZIRP_late,nor_usdnok_rvol_20d,0.0
NOR_10Y,252,ZIRP_late,swap_govt_spread,0.0
NOR_10Y,252,ZIRP_late,xmpca_01,0.0
NOR_10Y,252,ZIRP_late,xmpca_02,0.0
NOR_10Y,252,ZIRP_late,xmpca_03,0.0
NOR_10Y,252,ZIRP_late,xmpca_04,0.0
NOR_10Y,252,ZIRP_late,xmpca_05,0.0
NOR_10Y,252,ZIRP_late,xmpca_06,44.21916198730469
NOR_10Y,252,ZIRP_late,xmpca_07,0.0
NOR_10Y,252,ZIRP_late,xmpca_08,0.0
NOR_10Y,252,ZIRP_late,xmpca_09,0.0
NOR_10Y,252,ZIRP_late,xmpca_10,0.0
NOR_10Y,252,ZIRP_late,xmpca_11,0.0
NOR_10Y,252,ZIRP_late,xmpca_12,0.0
NOR_10Y,252,COVID,chg_lag1,0.0
NOR_10Y,252,COVID,chg_lag2,0.0
NOR_10Y,252,COVID,chg_lag3,0.0
NOR_10Y,252,COVID,chg_lag4,0.0
NOR_10Y,252,COVID,chg_lag5,0.0
NOR_10Y,252,COVID,carry_roll,0.0
NOR_10Y,252,COVID,mom_63d,0.0
NOR_10Y,252,COVID,mom_1m,0.0
NOR_10Y,252,COVID,mom_3m,0.0
NOR_10Y,252,COVID,mom_6m,0.0
NOR_10Y,252,COVID,mom_12m,0.0
NOR_10Y,252,COVID,dev_ma_3m,0.0
NOR_10Y,252,COVID,dev_ma_12m,0.0
NOR_10Y,252,COVID,vol_20d,0.0
NOR_10Y,252,COVID,vol_regime,0.0
NOR_10Y,252,COVID,vol_zscore,0.0
NOR_10Y,252,COVID,level_zscore,0.0
NOR_10Y,252,COVID,slope_10_1,0.0
NOR_10Y,252,COVID,slope_10_5,0.0
NOR_10Y,252,COVID,slope_5_1,0.0
NOR_10Y,252,COVID,sofr_mom_1m,0.0
NOR_10Y,252,COVID,ibor_level,0.0
NOR_10Y,252,COVID,ibor_chg_1d,0.0
NOR_10Y,252,COVID,ibor_mom_1m,0.0
NOR_10Y,252,COVID,ibor_term_slope,0.0
NOR_10Y,252,COVID,swap_ibor_basis,0.0
NOR_10Y,252,COVID,move_level,0.0
NOR_10Y,252,COVID,move_zscore,0.0
NOR_10Y,252,COVID,vix_level,0.0
