security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,5,Block_GFC,GFC,3.3828807046932523,strong
NOR_10Y,NOR,10Y,5,Block_ZIRP,ZIRP,2.625125454992311,strong
NOR_10Y,NOR,10Y,5,Block_COVID,COVID,1.3353159256409335,strong
NOR_10Y,NOR,10Y,5,Block_Hiking,Hiking,1.6052129971200277,strong
NOR_15Y,NOR,15Y,5,Block_GFC,GFC,1.4920460253740448,strong
NOR_15Y,NOR,15Y,5,Block_ZIRP,ZIRP,2.4988381141013956,strong
NOR_15Y,NOR,15Y,5,Block_COVID,COVID,0.6983013627915494,strong
NOR_15Y,NOR,15Y,5,Block_Hiking,Hiking,40.000000715255716,none
NOR_1Y,NOR,1Y,5,Block_GFC,GFC,1.2842057616991938,strong
NOR_1Y,NOR,1Y,5,Block_ZIRP,ZIRP,2.140164935331188,strong
NOR_1Y,NOR,1Y,5,Block_COVID,COVID,1.6032630122300187,strong
NOR_1Y,NOR,1Y,5,Block_Hiking,Hiking,1.5119832614792381,strong
NOR_30Y,NOR,30Y,5,Block_GFC,GFC,8.677347292364567,mild
NOR_30Y,NOR,30Y,5,Block_ZIRP,ZIRP,6.109789994599635,strong
NOR_30Y,NOR,30Y,5,Block_COVID,COVID,2.2657845518775974,strong
NOR_30Y,NOR,30Y,5,Block_Hiking,Hiking,0.30586232112358175,strong
NOR_5Y,NOR,5Y,5,Block_GFC,GFC,1.1717801316382734,strong
NOR_5Y,NOR,5Y,5,Block_ZIRP,ZIRP,2.2252804019871446,strong
NOR_5Y,NOR,5Y,5,Block_COVID,COVID,1.279726261670964,strong
NOR_5Y,NOR,5Y,5,Block_Hiking,Hiking,1.0867457146819217,strong
NOR_10Y,NOR,10Y,5,LORO_GFC,GFC,3.3828807046932523,strong
NOR_10Y,NOR,10Y,5,LORO_ZIRP,ZIRP,2.625125454992311,strong
NOR_10Y,NOR,10Y,5,LORO_COVID,COVID,1.3353159256409335,strong
NOR_10Y,NOR,10Y,5,LORO_Hiking,Hiking,1.6052129971200277,strong
NOR_15Y,NOR,15Y,5,LORO_GFC,GFC,1.4920460253740448,strong
NOR_15Y,NOR,15Y,5,LORO_ZIRP,ZIRP,2.4988381141013956,strong
NOR_15Y,NOR,15Y,5,LORO_COVID,COVID,0.6983013627915494,strong
NOR_15Y,NOR,15Y,5,LORO_Hiking,Hiking,40.000000715255716,none
NOR_1Y,NOR,1Y,5,LORO_GFC,GFC,1.2842057616991938,strong
NOR_1Y,NOR,1Y,5,LORO_ZIRP,ZIRP,2.140164935331188,strong
NOR_1Y,NOR,1Y,5,LORO_COVID,COVID,1.6032630122300187,strong
NOR_1Y,NOR,1Y,5,LORO_Hiking,Hiking,1.5119832614792381,strong
NOR_30Y,NOR,30Y,5,LORO_GFC,GFC,8.677347292364567,mild
NOR_30Y,NOR,30Y,5,LORO_ZIRP,ZIRP,6.109789994599635,strong
NOR_30Y,NOR,30Y,5,LORO_COVID,COVID,2.2657845518775974,strong
NOR_30Y,NOR,30Y,5,LORO_Hiking,Hiking,0.30586232112358175,strong
NOR_5Y,NOR,5Y,5,LORO_GFC,GFC,1.1717801316382734,strong
NOR_5Y,NOR,5Y,5,LORO_ZIRP,ZIRP,2.2252804019871446,strong
NOR_5Y,NOR,5Y,5,LORO_COVID,COVID,1.279726261670964,strong
NOR_5Y,NOR,5Y,5,LORO_Hiking,Hiking,1.0867457146819217,strong
