security,horizon,fold,feature,relevance
NOR_10Y,5,ZIRP_late,carry_roll,0.0
NOR_10Y,5,ZIRP_late,mom_63d,0.0
NOR_10Y,5,ZIRP_late,mom_1m,0.0
NOR_10Y,5,ZIRP_late,mom_3m,0.0
NOR_10Y,5,ZIRP_late,mom_6m,0.0
NOR_10Y,5,ZIRP_late,mom_12m,0.0
NOR_10Y,5,ZIRP_late,dev_ma_3m,0.0
NOR_10Y,5,ZIRP_late,dev_ma_12m,0.0
NOR_10Y,5,ZIRP_late,vol_20d,0.0
NOR_10Y,5,ZIRP_late,vol_regime,2.8724730014801025
NOR_10Y,5,ZIRP_late,vol_zscore,0.0
NOR_10Y,5,ZIRP_late,level_zscore,0.0
NOR_10Y,5,ZIRP_late,slope_10_1,0.0
NOR_10Y,5,ZIRP_late,slope_10_5,0.0
NOR_10Y,5,ZIRP_late,slope_5_1,0.0
NOR_10Y,5,ZIRP_late,sofr_mom_1m,0.0
NOR_10Y,5,ZIRP_late,ibor_level,0.0
NOR_10Y,5,ZIRP_late,ibor_chg_1d,0.0
NOR_10Y,5,ZIRP_late,ibor_mom_1m,0.0
NOR_10Y,5,ZIRP_late,ibor_term_slope,0.0
NOR_10Y,5,ZIRP_late,swap_ibor_basis,0.0
NOR_10Y,5,ZIRP_late,move_level,0.0
NOR_10Y,5,ZIRP_late,move_zscore,0.0
NOR_10Y,5,ZIRP_late,vix_level,0.0
NOR_10Y,5,ZIRP_late,vix_zscore,0.0
NOR_10Y,5,ZIRP_late,v2x_level,0.0
NOR_10Y,5,ZIRP_late,vxn_level,0.0
NOR_10Y,5,ZIRP_late,ovx_level,0.0
NOR_10Y,5,ZIRP_late,gvz_level,0.0
NOR_10Y,5,ZIRP_late,spx_mom_1m,0.0
NOR_10Y,5,ZIRP_late,spx_mom_3m,0.0
NOR_10Y,5,ZIRP_late,sx5e_mom_1m,0.0
NOR_10Y,5,ZIRP_late,sx5e_mom_3m,0.0
NOR_10Y,5,ZIRP_late,mxwo_mom_1m,24.060321807861328
NOR_10Y,5,ZIRP_late,ndx_mom_1m,0.0
NOR_10Y,5,ZIRP_late,oil_mom_1m,0.0
NOR_10Y,5,ZIRP_late,oil_mom_3m,17.030176162719727
NOR_10Y,5,ZIRP_late,copper_mom_1m,0.0
NOR_10Y,5,ZIRP_late,opec_prod,16.229934692382812
NOR_10Y,5,ZIRP_late,natgas_mom_1m,0.0
NOR_10Y,5,ZIRP_late,be5y_level,0.0
NOR_10Y,5,ZIRP_late,be10y_level,0.0
NOR_10Y,5,ZIRP_late,be_slope,0.0
NOR_10Y,5,ZIRP_late,be5y_chg_1m,0.0
NOR_10Y,5,ZIRP_late,ig_spread,0.0
NOR_10Y,5,ZIRP_late,hy_spread,0.0
NOR_10Y,5,ZIRP_late,ig_chg_1m,0.0
NOR_10Y,5,ZIRP_late,hy_chg_1m,0.0
NOR_10Y,5,ZIRP_late,cpi_yoy,0.0
NOR_10Y,5,ZIRP_late,pce_core_chg,0.0
NOR_10Y,5,ZIRP_late,nfp_change,0.0
NOR_10Y,5,ZIRP_late,pmi_us,15.160985946655273
NOR_10Y,5,ZIRP_late,pmi_eur,0.0
NOR_10Y,5,ZIRP_late,unemp_eur,0.0
NOR_10Y,5,ZIRP_late,cpi_nsa_level,0.0
NOR_10Y,5,ZIRP_late,pce_core_level,0.0
