validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,909,0.735973597359736,1.0,0.4670094104290272,0.048876396835999286,0.09170303134213421,0.16927554756082325,0.46701438196032286,2.8667985254321553,0.0020732344521625645,2.1002985981378277,0.01798895026701241,14.621005935618724,0.0,8.064776450616953e-48,14,12,0.7831158331941945,46,2
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,625,0.5392,1.0,-0.4032738134860605,0.07435758680171967,0.057620139784000005,0.2151530515686798,-0.29047911165198737,0.04667641183136987,0.4813855652408101,-1.673859792386121,0.9526703540457818,3.192270738202372,0.0007057947697165501,0.02738547756921656,10,12,0.7831158331941945,46,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,1538,0.6514954486345904,1.0,0.16376175721869002,0.0631076325365209,0.0766523305526658,0.19439142743992502,0.17670301631388374,2.287110069837601,0.011094699636037042,1.78768662021049,0.0370117692618959,11.796014279572216,0.0,3.255330334942585e-33,24,12,0.7380947084243954,15,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,1008,0.5049603174603174,1.0,-0.058816908660177525,0.06303163503566217,0.06297043302579365,0.20760176038099304,-0.0009719166111410438,0.9989950367043092,0.15889854781752477,-0.029214191264944265,0.5116502241499972,0.6602734802743304,0.25453917267017334,0.3884152743772322,16,12,0.7380947084243954,15,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,2542,0.5806451612903226,1.0,0.008902774260372115,0.06810993918544218,0.0707628983988985,0.20476108307768562,0.037490821793382256,1.626049756244347,0.05196953555996253,0.895449992433586,0.1853157011628527,,,2.1546283160396607e-16,40,12,0.7361971162064033,1,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,782,0.5664961636828645,1.0,-0.03719365142706743,0.03379392196030566,0.03266297895140665,0.14211439483563612,-0.034624613100401325,0.3099375963010085,0.3783042059384636,-0.3289485563530429,0.6288586203938477,4.76837158203125e-07,0.49999980976949676,0.0001129070919185046,12,12,0.7361971162064033,1,1
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,3324,0.6308664259927798,1.0,0.12460942645029294,0.05325793952839567,0.06192945618231047,0.18084133185672144,0.14002248991800015,2.8388233168952044,0.0022640110573246552,2.563056496773684,0.005209585642387915,15.754800745689298,0.0,3.2396027177365958e-52,53,12,0.7238366695632182,2,6
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,541,0.40850277264325324,1.0,-0.04848815312891741,0.12462178853772259,0.12014267273567465,0.2779856759665393,-0.037281639404696865,-0.5779394585928485,0.7183475030255614,-0.7360554065032939,0.7689917073528624,-0.8559281913648701,0.8039812498547495,0.9999918763163261,9,12,0.7238366695632182,2,6
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,3854,0.6395952257394915,1.0,0.1278854614372853,0.059084350601374805,0.06854568723144784,0.1888678042746265,0.13802964142917373,3.1472791769406663,0.0008239876591407125,2.8543072298591916,0.002168055642897762,17.439382829311686,0.0,2.385277108718331e-68,61,12,0.7144631611342906,4,3
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,1076,0.34107806691449816,1.0,-0.26978006155025236,0.14182784601773457,0.12086317765799258,0.30109190249901446,-0.1734578617407021,-1.9122276354332566,0.9720764985312133,-2.4916927134520357,0.9935682840450146,2.3643259832816383,0.009031455479155182,1.0,17,12,0.7144631611342906,4,3
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,895,0.7195530726256983,1.0,0.34113559986998987,0.048604538241725004,0.07377221452513966,0.16903788807375472,0.34115386728479136,3.3659454002461215,0.00038140902882422,2.1533978026224716,0.01577712577639847,13.272840142137365,0.0,8.02884462954342e-41,14,12,0.78380578757418,2088,2
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,622,0.5144694533762058,1.0,-0.28936061021591675,0.0626719147487393,0.049118116961414784,0.2013205684271081,-0.2759429437812495,-0.013393709774044745,0.5053431573670133,-1.6407154656327325,0.9493185734407508,1.2927503878528062,0.09804870217593509,0.24774950161997014,10,12,0.78380578757418,2088,2
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,1516,0.8073878627968337,1.0,0.6137350814588316,0.024140969980239936,0.06272541276385224,0.12392773476392455,0.6151325449044788,3.0709320613062547,0.0010669584982765379,2.9194158342766245,0.0017793460075581494,24.324836020067565,0.0,5.955120407298491e-136,24,12,0.7395425327993708,24,3
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,oos,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,1028,0.5204280155642024,1.0,-0.12458225761571562,0.06140652400457418,0.058154354815175106,0.19899027753144988,-0.055923055113156206,0.23956792641722344,0.4053326158805186,-0.46835574482833847,0.680185202479634,8.227761543495841,1.1102230246251565e-16,0.10048011422734242,16,12,0.7395425327993708,24,3
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,train,ebacf7a9f85e,108,v5,2026-06-29T12:18:38.484698+00:00,per_security,False,63,2544,0.5683962264150944,1.0,0.044896470035093894,0.05631884363784772,0.060131539308176093,0.18622471679026537,0.06340592165432823,2.4933273513661267,0.006327605627327149,1.5780304379515366,0.057341496531508,,,2.785031533495568e-12,40,12,0.7358685585105414,370,2
