security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,252,ZIRP_early,ZIRP,40.00000047683715,none
NOR_10Y,NOR,10Y,252,ZIRP_late,ZIRP,2.4628256348285036,strong
NOR_10Y,NOR,10Y,252,COVID,COVID,1.6360206344419481,strong
NOR_10Y,NOR,10Y,252,Hiking,Hiking,4.362553386597077,strong
NOR_15Y,NOR,15Y,252,ZIRP_early,ZIRP,40.0,none
NOR_15Y,NOR,15Y,252,ZIRP_late,ZIRP,40.0,none
NOR_15Y,NOR,15Y,252,COVID,COVID,0.9450101207020835,strong
NOR_15Y,NOR,15Y,252,Hiking,Hiking,2.120162260419014,strong
NOR_1Y,NOR,1Y,252,ZIRP_early,ZIRP,2.868093252182007,strong
NOR_1Y,NOR,1Y,252,ZIRP_late,ZIRP,7.499999999999999,mild
NOR_1Y,NOR,1Y,252,COVID,COVID,7.566879472808569,mild
NOR_1Y,NOR,1Y,252,Hiking,Hiking,3.048721739383345,strong
NOR_30Y,NOR,30Y,252,ZIRP_early,ZIRP,1.5,strong
NOR_30Y,NOR,30Y,252,ZIRP_late,ZIRP,39.999999523162835,none
NOR_30Y,NOR,30Y,252,COVID,COVID,6.251076757907867,strong
NOR_30Y,NOR,30Y,252,Hiking,Hiking,2.7262581007873385,strong
NOR_5Y,NOR,5Y,252,ZIRP_early,ZIRP,2.200000047683716,strong
NOR_5Y,NOR,5Y,252,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,252,COVID,COVID,1.6888329019942623,strong
NOR_5Y,NOR,5Y,252,Hiking,Hiking,3.1880952322135196,strong
