security,horizon,scheme,fold,use_categoricals,feature,shap_mean_abs,bucket
__POOL__,63,walk_forward,ZIRP_early,True,chg_lag5,0.0,momentum
__POOL__,63,walk_forward,ZIRP_early,True,carry_roll,0.009031703633784872,carry_roll
__POOL__,63,walk_forward,ZIRP_early,True,mom_63d,0.0014808285071731169,momentum
__POOL__,63,walk_forward,ZIRP_early,True,mom_1m,0.00012642548657363593,momentum
__POOL__,63,walk_forward,ZIRP_early,True,mom_3m,0.0018309938161946949,momentum
__POOL__,63,walk_forward,ZIRP_early,True,mom_6m,0.0013634182629269403,momentum
__POOL__,63,walk_forward,ZIRP_early,True,mom_12m,0.002356065216974774,momentum
__POOL__,63,walk_forward,ZIRP_early,True,dev_ma_3m,0.015217296109417569,curve
__POOL__,63,walk_forward,ZIRP_early,True,dev_ma_12m,0.004608119131914302,curve
__POOL__,63,walk_forward,ZIRP_early,True,vol_20d,0.005780696499619853,vol
__POOL__,63,walk_forward,ZIRP_early,True,vol_regime,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,vol_zscore,0.0012023184661438331,vol
__POOL__,63,walk_forward,ZIRP_early,True,level_zscore,0.004116206619983271,curve
__POOL__,63,walk_forward,ZIRP_early,True,slope_10_1,0.001446795144309617,curve
__POOL__,63,walk_forward,ZIRP_early,True,slope_10_5,0.0018553336533662394,curve
__POOL__,63,walk_forward,ZIRP_early,True,slope_5_1,0.001532716246758155,curve
__POOL__,63,walk_forward,ZIRP_early,True,sofr_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,ibor_level,0.014051537594814924,macro
__POOL__,63,walk_forward,ZIRP_early,True,ibor_chg_1d,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,ibor_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,ibor_term_slope,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,swap_ibor_basis,0.006873153175037576,curve
__POOL__,63,walk_forward,ZIRP_early,True,move_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,move_zscore,0.0002254435315686003,vol
__POOL__,63,walk_forward,ZIRP_early,True,vix_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,vix_zscore,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,v2x_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,vxn_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_early,True,ovx_level,0.00047175264592935073,vol
__POOL__,63,walk_forward,ZIRP_early,True,gvz_level,0.0040163695454051825,vol
__POOL__,63,walk_forward,ZIRP_early,True,spx_mom_1m,6.525452595303824e-05,macro
__POOL__,63,walk_forward,ZIRP_early,True,spx_mom_3m,0.00036895303138576827,macro
__POOL__,63,walk_forward,ZIRP_early,True,sx5e_mom_1m,0.00017243849359434096,macro
__POOL__,63,walk_forward,ZIRP_early,True,sx5e_mom_3m,0.0006655028332253607,macro
__POOL__,63,walk_forward,ZIRP_early,True,mxwo_mom_1m,0.0,macro
