security,horizon,scheme,fold,use_categoricals,feature,shap_mean_abs,bucket
__POOL__,5,walk_forward,GFC,True,chg_lag1,0.0002349985296065659,momentum
__POOL__,5,walk_forward,GFC,True,chg_lag2,0.00013863216554475507,momentum
__POOL__,5,walk_forward,GFC,True,chg_lag3,0.00019245929165341962,momentum
__POOL__,5,walk_forward,GFC,True,chg_lag4,0.0,momentum
__POOL__,5,walk_forward,GFC,True,chg_lag5,0.00021020682363772898,momentum
__POOL__,5,walk_forward,GFC,True,carry_roll,0.0017008984780650482,carry_roll
__POOL__,5,walk_forward,GFC,True,mom_63d,0.0010961153834748,momentum
__POOL__,5,walk_forward,GFC,True,mom_1m,0.0004837780185360303,momentum
__POOL__,5,walk_forward,GFC,True,mom_3m,0.0005790634602438913,momentum
__POOL__,5,walk_forward,GFC,True,mom_6m,0.0003887684791830973,momentum
__POOL__,5,walk_forward,GFC,True,mom_12m,0.00015476330271470238,momentum
__POOL__,5,walk_forward,GFC,True,dev_ma_3m,0.003345871373402428,curve
__POOL__,5,walk_forward,GFC,True,dev_ma_12m,0.0013781975283447725,curve
__POOL__,5,walk_forward,GFC,True,vol_20d,0.0068374456935362095,vol
__POOL__,5,walk_forward,GFC,True,vol_regime,0.0,vol
__POOL__,5,walk_forward,GFC,True,vol_zscore,5.0633588792087034e-05,vol
__POOL__,5,walk_forward,GFC,True,level_zscore,0.0006709478161193531,curve
__POOL__,5,walk_forward,GFC,True,slope_10_1,0.0022144129102850693,curve
__POOL__,5,walk_forward,GFC,True,slope_10_5,0.0005562489770115189,curve
__POOL__,5,walk_forward,GFC,True,slope_5_1,0.001200894893685168,curve
__POOL__,5,walk_forward,GFC,True,sofr_mom_1m,0.0013908545538752217,macro
__POOL__,5,walk_forward,GFC,True,ibor_level,0.00028325179263960027,macro
__POOL__,5,walk_forward,GFC,True,ibor_chg_1d,0.0,macro
__POOL__,5,walk_forward,GFC,True,ibor_mom_1m,0.00010688512379039358,macro
__POOL__,5,walk_forward,GFC,True,ibor_term_slope,0.0,macro
__POOL__,5,walk_forward,GFC,True,swap_ibor_basis,0.0027313586461020114,curve
__POOL__,5,walk_forward,GFC,True,move_level,0.002169161388425585,vol
__POOL__,5,walk_forward,GFC,True,move_zscore,0.00071166264299706,vol
__POOL__,5,walk_forward,GFC,True,vix_level,0.00017809756052591564,vol
__POOL__,5,walk_forward,GFC,True,vix_zscore,0.0,vol
__POOL__,5,walk_forward,GFC,True,v2x_level,0.0004921589734202043,vol
__POOL__,5,walk_forward,GFC,True,vxn_level,0.004268703963180404,vol
__POOL__,5,walk_forward,GFC,True,ovx_level,0.0005795440394887441,vol
__POOL__,5,walk_forward,GFC,True,gvz_level,0.0008793180041119526,vol
__POOL__,5,walk_forward,GFC,True,spx_mom_1m,0.0015671540144421858,macro
