horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,1.0,1,0.10576015126185084,41,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,1.0,5,0.10576015126185084,41,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,5.0,1,0.10511926508772824,499,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,5.0,5,0.10511926508772824,499,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,10.0,1,0.10578148728097707,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,0.8,10.0,5,0.10578148728097707,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,1.0,1,0.10574520648021149,23,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,1.0,5,0.10574520648021149,23,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,5.0,1,0.10578081401667153,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,5.0,5,0.10578081401667153,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,10.0,1,0.10578081038925616,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,0.8,1.0,10.0,5,0.10578081038925616,1,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,1.0,1,0.10571650802843022,49,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,1.0,5,0.10571650802843022,49,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,5.0,1,0.10577617502721408,11,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,5.0,5,0.10577617502721408,11,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,10.0,1,0.1057745689675401,5,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,0.8,10.0,5,0.1057745689675401,5,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,1.0,1,0.10575322478540003,19,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,1.0,5,0.10575322478540003,19,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,5.0,1,0.10576766894289248,13,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,5.0,5,0.10576766894289248,13,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,10.0,1,0.10577094524354538,21,False
1,walk_forward,GFC,True,113,4,113,0.01,4,1.0,1.0,10.0,5,0.10577094524354538,21,False
1,walk_forward,GFC,True,113,4,113,0.01,6,0.8,0.8,1.0,1,0.10564633800193048,81,False
1,walk_forward,GFC,True,113,4,113,0.01,6,0.8,0.8,1.0,5,0.10564633800193048,81,False
1,walk_forward,GFC,True,113,4,113,0.01,6,0.8,0.8,5.0,1,0.10577105726109623,20,False
