horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,1.0,1,0.12910964168161176,427,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,1.0,5,0.12910964168161176,427,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,5.0,1,0.12973230807654085,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,5.0,5,0.12973230807654085,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,10.0,1,0.133337196633255,273,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,0.8,10.0,5,0.133337196633255,273,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,1.0,1,0.13316348269353015,283,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,1.0,5,0.13316348269353015,283,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,5.0,1,0.12979470161653078,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,5.0,5,0.12979470161653078,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,10.0,1,0.1325792347866024,358,False
21,walk_forward,GFC,True,188,6,188,0.01,4,0.8,1.0,10.0,5,0.1325792347866024,358,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,1.0,1,0.1296458756143091,496,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,1.0,5,0.1296458756143091,496,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,5.0,1,0.12912033713383178,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,5.0,5,0.12912033713383178,500,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,10.0,1,0.130947670842992,498,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,0.8,10.0,5,0.130947670842992,498,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,1.0,1.0,1,0.12943750911791793,443,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,1.0,1.0,5,0.12943750911791793,443,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,1.0,5.0,1,0.13042109758198528,479,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,1.0,5.0,5,0.13042109758198528,479,False
21,walk_forward,GFC,True,188,6,188,0.01,4,1.0,1.0,10.0,1,0.13320979207966804,285,False
