security,horizon,scheme,fold,use_categoricals,feature,shap_mean_abs,bucket
__POOL__,21,walk_forward,GFC,True,chg_lag1,0.00039683017626023393,momentum
__POOL__,21,walk_forward,GFC,True,chg_lag2,0.0,momentum
__POOL__,21,walk_forward,GFC,True,chg_lag3,0.00013100395512371984,momentum
__POOL__,21,walk_forward,GFC,True,chg_lag4,0.00025818537246812765,momentum
__POOL__,21,walk_forward,GFC,True,chg_lag5,0.0,momentum
__POOL__,21,walk_forward,GFC,True,carry_roll,0.0160827833529805,carry_roll
__POOL__,21,walk_forward,GFC,True,mom_63d,0.0024363722334075047,momentum
__POOL__,21,walk_forward,GFC,True,mom_1m,0.0014522082141582493,momentum
__POOL__,21,walk_forward,GFC,True,mom_3m,0.002518049383377951,momentum
__POOL__,21,walk_forward,GFC,True,mom_6m,0.0024139423866578434,momentum
__POOL__,21,walk_forward,GFC,True,mom_12m,0.004386430914274584,momentum
__POOL__,21,walk_forward,GFC,True,dev_ma_3m,0.01155489710148023,curve
__POOL__,21,walk_forward,GFC,True,dev_ma_12m,0.005506281548684004,curve
__POOL__,21,walk_forward,GFC,True,vol_20d,0.005559435515056765,vol
__POOL__,21,walk_forward,GFC,True,vol_regime,0.0,vol
__POOL__,21,walk_forward,GFC,True,vol_zscore,0.0029003230454484564,vol
__POOL__,21,walk_forward,GFC,True,level_zscore,0.0047573642055753615,curve
__POOL__,21,walk_forward,GFC,True,slope_10_1,0.0037045760343428465,curve
__POOL__,21,walk_forward,GFC,True,slope_10_5,0.008317174668311432,curve
__POOL__,21,walk_forward,GFC,True,slope_5_1,0.004044110929081411,curve
__POOL__,21,walk_forward,GFC,True,sofr_mom_1m,0.0012497586280375726,macro
__POOL__,21,walk_forward,GFC,True,ibor_level,0.00623791701778806,macro
__POOL__,21,walk_forward,GFC,True,ibor_chg_1d,0.0,macro
__POOL__,21,walk_forward,GFC,True,ibor_mom_1m,0.0025340830808908785,macro
__POOL__,21,walk_forward,GFC,True,ibor_term_slope,0.0012008204265383023,macro
__POOL__,21,walk_forward,GFC,True,swap_ibor_basis,0.006447028347258819,curve
__POOL__,21,walk_forward,GFC,True,move_level,0.0012573932950865525,vol
__POOL__,21,walk_forward,GFC,True,move_zscore,0.0009551785429431695,vol
__POOL__,21,walk_forward,GFC,True,vix_level,8.72328873482491e-05,vol
__POOL__,21,walk_forward,GFC,True,vix_zscore,0.0,vol
__POOL__,21,walk_forward,GFC,True,v2x_level,0.0015338911445299996,vol
__POOL__,21,walk_forward,GFC,True,vxn_level,0.0003789061179113966,vol
__POOL__,21,walk_forward,GFC,True,ovx_level,0.0009450760349864382,vol
__POOL__,21,walk_forward,GFC,True,gvz_level,0.005014534297229542,vol
__POOL__,21,walk_forward,GFC,True,spx_mom_1m,0.000770922702489692,macro
