horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
252,walk_forward,GFC,True,145,4,145,0.05,4,0.8,1.0,10.0,1,1.6876688040773082,216,False
252,walk_forward,GFC,True,145,4,145,0.05,4,0.8,1.0,10.0,5,1.6876688040773082,216,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,1.0,1,1.8175329586941216,246,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,1.0,5,1.8175329586941216,246,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,5.0,1,1.8341172517905535,140,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,5.0,5,1.8341172517905535,140,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,10.0,1,1.7953246547448114,260,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,0.8,10.0,5,1.7953246547448114,260,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,1.0,1,1.889443534884365,206,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,1.0,5,1.889443534884365,206,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,5.0,1,1.845952223886943,250,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,5.0,5,1.845952223886943,250,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,10.0,1,1.808119899625345,263,False
252,walk_forward,GFC,True,145,4,145,0.05,4,1.0,1.0,10.0,5,1.808119899625345,263,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,1.0,1,1.8912607162832988,208,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,1.0,5,1.8912607162832988,208,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,5.0,1,1.875117257603436,219,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,5.0,5,1.875117257603436,219,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,10.0,1,1.9084675384469234,245,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,0.8,10.0,5,1.9084675384469234,245,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,1.0,1,1.7732052802096139,299,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,1.0,5,1.7732052802096139,299,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,5.0,1,1.7941346355168253,68,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,5.0,5,1.7941346355168253,68,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,10.0,1,1.8812888796327423,50,False
252,walk_forward,GFC,True,145,4,145,0.05,6,0.8,1.0,10.0,5,1.8812888796327423,50,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,1.0,1,1.8934025569431059,218,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,1.0,5,1.8934025569431059,218,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,5.0,1,1.806875511393231,192,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,5.0,5,1.806875511393231,192,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,10.0,1,1.8124134883173164,259,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,0.8,10.0,5,1.8124134883173164,259,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,1.0,1,1.9148909744012899,184,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,1.0,5,1.9148909744012899,184,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,5.0,1,1.9036265285998653,190,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,5.0,5,1.9036265285998653,190,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,10.0,1,1.9551457267828714,200,False
252,walk_forward,GFC,True,145,4,145,0.05,6,1.0,1.0,10.0,5,1.9551457267828714,200,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,1.0,1,1.8242712008388875,191,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,1.0,5,1.8242712008388875,191,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,5.0,1,2.1692145602888964,72,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,5.0,5,2.1692145602888964,72,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,10.0,1,2.0395151492767267,81,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,0.8,10.0,5,2.0395151492767267,81,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,1.0,1,1.6949480489752466,130,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,1.0,5,1.6949480489752466,130,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,5.0,1,1.7329896438456045,131,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,5.0,5,1.7329896438456045,131,False
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,10.0,1,1.6471694301794024,145,True
252,walk_forward,GFC,True,145,4,145,0.1,4,0.8,1.0,10.0,5,1.6471694301794024,145,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,1.0,1,1.885187236044189,105,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,1.0,5,1.885187236044189,105,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,5.0,1,1.9661176207080757,121,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,5.0,5,1.9661176207080757,121,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,10.0,1,1.9490276641786726,84,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,0.8,10.0,5,1.9490276641786726,84,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,1.0,1,1.9093745334446757,96,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,1.0,5,1.9093745334446757,96,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,5.0,1,1.8513640379824603,149,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,5.0,5,1.8513640379824603,149,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,10.0,1,1.881329987457227,135,False
252,walk_forward,GFC,True,145,4,145,0.1,4,1.0,1.0,10.0,5,1.881329987457227,135,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,1.0,1,1.9484504851506734,108,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,1.0,5,1.9484504851506734,108,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,5.0,1,2.094099347741947,75,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,5.0,5,2.094099347741947,75,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,10.0,1,1.8948442355146125,130,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,0.8,10.0,5,1.8948442355146125,130,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,1.0,1,1.9630093985110038,94,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,1.0,5,1.9630093985110038,94,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,5.0,1,1.8867383291991089,128,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,5.0,5,1.8867383291991089,128,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,10.0,1,1.9738135644644892,84,False
252,walk_forward,GFC,True,145,4,145,0.1,6,0.8,1.0,10.0,5,1.9738135644644892,84,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,1.0,1,1.8540941919032254,115,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,1.0,5,1.8540941919032254,115,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,5.0,1,1.8455698562007132,86,False
