security,horizon,scheme,fold,use_categoricals,feature,shap_mean_abs,bucket
__POOL__,1,walk_forward,GFC,True,chg_lag1,0.00011223639407012473,momentum
__POOL__,1,walk_forward,GFC,True,chg_lag2,3.764636592862531e-05,momentum
__POOL__,1,walk_forward,GFC,True,chg_lag3,0.0010398861567232666,momentum
__POOL__,1,walk_forward,GFC,True,chg_lag4,0.0010057849164205061,momentum
__POOL__,1,walk_forward,GFC,True,chg_lag5,0.0018477287327797343,momentum
__POOL__,1,walk_forward,GFC,True,carry_roll,0.006794919257597496,carry_roll
__POOL__,1,walk_forward,GFC,True,mom_63d,0.0006601736827931588,momentum
__POOL__,1,walk_forward,GFC,True,mom_1m,0.00036635016939371654,momentum
__POOL__,1,walk_forward,GFC,True,mom_3m,7.900526349785664e-05,momentum
__POOL__,1,walk_forward,GFC,True,mom_6m,0.00021834511901789943,momentum
__POOL__,1,walk_forward,GFC,True,mom_12m,0.0001414670536738093,momentum
__POOL__,1,walk_forward,GFC,True,dev_ma_3m,0.008660779481481303,curve
__POOL__,1,walk_forward,GFC,True,dev_ma_12m,0.001062128059989947,curve
__POOL__,1,walk_forward,GFC,True,vol_20d,0.0007454594469737423,vol
__POOL__,1,walk_forward,GFC,True,vol_regime,0.0003587112241335788,vol
__POOL__,1,walk_forward,GFC,True,vol_zscore,0.0022370764202570737,vol
__POOL__,1,walk_forward,GFC,True,level_zscore,0.0002799153149328176,curve
__POOL__,1,walk_forward,GFC,True,slope_10_1,0.00022740806919711553,curve
__POOL__,1,walk_forward,GFC,True,slope_10_5,0.0009471566822716211,curve
__POOL__,1,walk_forward,GFC,True,slope_5_1,0.000456725060909931,curve
__POOL__,1,walk_forward,GFC,True,sofr_mom_1m,9.781968023520433e-06,macro
__POOL__,1,walk_forward,GFC,True,ibor_level,0.0002573060779869212,macro
__POOL__,1,walk_forward,GFC,True,ibor_chg_1d,0.0,macro
__POOL__,1,walk_forward,GFC,True,ibor_mom_1m,0.0003634068076865805,macro
__POOL__,1,walk_forward,GFC,True,ibor_term_slope,0.0,macro
__POOL__,1,walk_forward,GFC,True,swap_ibor_basis,0.003820537656449464,curve
__POOL__,1,walk_forward,GFC,True,move_level,0.00010866762250550937,vol
__POOL__,1,walk_forward,GFC,True,move_zscore,0.0002853239552963117,vol
__POOL__,1,walk_forward,GFC,True,vix_level,0.0006851347938123028,vol
__POOL__,1,walk_forward,GFC,True,vix_zscore,0.00042022697146568204,vol
__POOL__,1,walk_forward,GFC,True,v2x_level,0.000144967815317452,vol
__POOL__,1,walk_forward,GFC,True,vxn_level,0.0002121450533575556,vol
__POOL__,1,walk_forward,GFC,True,ovx_level,6.646112137486473e-05,vol
__POOL__,1,walk_forward,GFC,True,gvz_level,0.00029974587337285843,vol
__POOL__,1,walk_forward,GFC,True,spx_mom_1m,0.0005458179513187234,macro
__POOL__,1,walk_forward,GFC,True,spx_mom_3m,0.0009378781890133208,macro
__POOL__,1,walk_forward,GFC,True,sx5e_mom_1m,0.0,macro
__POOL__,1,walk_forward,GFC,True,sx5e_mom_3m,0.0002387540786552244,macro
__POOL__,1,walk_forward,GFC,True,mxwo_mom_1m,0.00027172764085140936,macro
__POOL__,1,walk_forward,GFC,True,ndx_mom_1m,0.0005656632334620096,macro
__POOL__,1,walk_forward,GFC,True,oil_mom_1m,0.0006001696842124554,macro
__POOL__,1,walk_forward,GFC,True,oil_mom_3m,0.0006031699405427142,macro
__POOL__,1,walk_forward,GFC,True,copper_mom_1m,0.00037846450167571954,macro
__POOL__,1,walk_forward,GFC,True,opec_prod,0.0,macro
__POOL__,1,walk_forward,GFC,True,natgas_mom_1m,0.0,macro
__POOL__,1,walk_forward,GFC,True,be5y_level,0.0,macro
__POOL__,1,walk_forward,GFC,True,be10y_level,0.0008241295351975996,macro
__POOL__,1,walk_forward,GFC,True,be_slope,9.831747257600703e-05,macro
__POOL__,1,walk_forward,GFC,True,be5y_chg_1m,8.440491544035228e-05,macro
__POOL__,1,walk_forward,GFC,True,ig_spread,0.0,credit
__POOL__,1,walk_forward,GFC,True,hy_spread,0.0,credit
__POOL__,1,walk_forward,GFC,True,ig_chg_1m,0.0,credit
__POOL__,1,walk_forward,GFC,True,hy_chg_1m,0.0,credit
__POOL__,1,walk_forward,GFC,True,cpi_yoy,0.0003703301951807944,macro
__POOL__,1,walk_forward,GFC,True,pce_core_chg,0.0003344549198843558,macro
__POOL__,1,walk_forward,GFC,True,nfp_change,0.00027749680568537,macro
__POOL__,1,walk_forward,GFC,True,pmi_us,0.0006042846995620775,macro
__POOL__,1,walk_forward,GFC,True,pmi_eur,0.0003623608740010701,macro
__POOL__,1,walk_forward,GFC,True,unemp_eur,0.000733213325193482,macro
__POOL__,1,walk_forward,GFC,True,cpi_nsa_level,0.00015606090345482082,macro
__POOL__,1,walk_forward,GFC,True,pce_core_level,0.00026140465626481356,macro
__POOL__,1,walk_forward,GFC,True,eur_3m,0.0023835590881768776,macro
__POOL__,1,walk_forward,GFC,True,eur_1w,0.002032534121169149,macro
__POOL__,1,walk_forward,GFC,True,nor_ibor_1m,0.00012606654558798506,macro
__POOL__,1,walk_forward,GFC,True,nor_ibor_6m,0.00026629224591707295,macro
__POOL__,1,walk_forward,GFC,True,xmpca_01,0.0008181070663632213,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_02,0.0002570301243064574,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_03,0.00011357268699426234,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_04,0.00021624471825994795,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_05,1.5317312158102981e-06,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_06,0.00011705702606308027,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_07,0.0002838568568271445,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_08,3.6787700211816194e-05,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_09,0.00010400370709010472,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_10,5.934747558127878e-05,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_11,0.00047308750851097505,cross_market
__POOL__,1,walk_forward,GFC,True,xmpca_12,0.0006305363916788481,cross_market
__POOL__,1,walk_forward,GFC,True,security,0.0016731452362746557,categorical
__POOL__,1,walk_forward,GFC,True,country,0.004789727865655513,categorical
__POOL__,1,walk_forward,GFC,True,maturity,8.278908303876516e-05,categorical
__POOL__,1,walk_forward,ZIRP_early,True,chg_lag1,0.0002744619633453375,momentum
__POOL__,1,walk_forward,ZIRP_early,True,chg_lag2,4.8691225255540435e-05,momentum
__POOL__,1,walk_forward,ZIRP_early,True,chg_lag3,7.094159881651306e-05,momentum
__POOL__,1,walk_forward,ZIRP_early,True,chg_lag4,5.4512026494354944e-05,momentum
__POOL__,1,walk_forward,ZIRP_early,True,chg_lag5,0.0,momentum
__POOL__,1,walk_forward,ZIRP_early,True,carry_roll,0.0016831830268625237,carry_roll
__POOL__,1,walk_forward,ZIRP_early,True,mom_63d,0.0007410700517592398,momentum
__POOL__,1,walk_forward,ZIRP_early,True,mom_1m,0.00014510122947989683,momentum
__POOL__,1,walk_forward,ZIRP_early,True,mom_3m,0.0001546146220304805,momentum
__POOL__,1,walk_forward,ZIRP_early,True,mom_6m,0.0009117081226862469,momentum
__POOL__,1,walk_forward,ZIRP_early,True,mom_12m,0.00024243768245883884,momentum
__POOL__,1,walk_forward,ZIRP_early,True,dev_ma_3m,0.002682277417250808,curve
__POOL__,1,walk_forward,ZIRP_early,True,dev_ma_12m,0.001214653800529754,curve
__POOL__,1,walk_forward,ZIRP_early,True,vol_20d,0.0013755527426438487,vol
__POOL__,1,walk_forward,ZIRP_early,True,vol_regime,6.886968138077028e-05,vol
__POOL__,1,walk_forward,ZIRP_early,True,vol_zscore,0.0006756071282186276,vol
__POOL__,1,walk_forward,ZIRP_early,True,level_zscore,9.95153338571535e-05,curve
__POOL__,1,walk_forward,ZIRP_early,True,slope_10_1,8.737506032381016e-06,curve
__POOL__,1,walk_forward,ZIRP_early,True,slope_10_5,0.00019371225642302747,curve
__POOL__,1,walk_forward,ZIRP_early,True,slope_5_1,4.354126936484213e-05,curve
__POOL__,1,walk_forward,ZIRP_early,True,sofr_mom_1m,5.159140079850613e-05,macro
__POOL__,1,walk_forward,ZIRP_early,True,ibor_level,0.00037688298694948746,macro
__POOL__,1,walk_forward,ZIRP_early,True,ibor_chg_1d,0.0,macro
__POOL__,1,walk_forward,ZIRP_early,True,ibor_mom_1m,0.0004039941872258121,macro
__POOL__,1,walk_forward,ZIRP_early,True,ibor_term_slope,0.0,macro
__POOL__,1,walk_forward,ZIRP_early,True,swap_ibor_basis,5.2960597283804834e-05,curve
__POOL__,1,walk_forward,ZIRP_early,True,move_level,6.473174266243902e-05,vol
__POOL__,1,walk_forward,ZIRP_early,True,move_zscore,6.551416367330457e-05,vol
__POOL__,1,walk_forward,ZIRP_early,True,vix_level,1.708087315811365e-05,vol
__POOL__,1,walk_forward,ZIRP_early,True,vix_zscore,0.00010328713614971507,vol
__POOL__,1,walk_forward,ZIRP_early,True,v2x_level,7.253684653668912e-05,vol
__POOL__,1,walk_forward,ZIRP_early,True,vxn_level,0.00012064025173906752,vol
