security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,ig_chg_1m,0.0,credit,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,hy_chg_1m,0.0,credit,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,cpi_yoy,0.6609418464863859,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,pce_core_chg,1.2357297432350673,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,nfp_change,0.1757494241739437,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,pmi_us,0.29752736379163525,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,pmi_eur,1.2541751418847635,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,unemp_eur,0.10189186574730552,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,cpi_nsa_level,0.24196323144549034,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,pce_core_level,0.8275942844669346,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,eur_3m,1.0399872630086173,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,eur_1w,2.3175853747703803,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,nor_ibor_1m,0.24817705295643663,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,nor_ibor_6m,0.20904444179266327,macro,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_01,0.5646280833826167,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_02,0.2664861892619637,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_03,0.02266719764188425,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_04,0.46400499897807107,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_05,0.012997126056511044,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_06,0.04338130581218023,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_07,0.31547328532285873,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_08,0.007309693353965162,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_09,0.049487328297598145,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_10,0.023383029693428398,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_11,0.4210628580743449,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,xmpca_12,0.24795645546248898,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,security,1.3793582678202203,categorical,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,country,3.2190440563058242,categorical,113,4,
__POOL__,1,walk_forward,GFC,True,PredictionValuesChange,maturity,0.001577170160804229,categorical,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,chg_lag1,0.00011726206701101471,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,chg_lag2,1.5703379156351005e-05,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,chg_lag3,0.0005466674812018429,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,chg_lag4,0.002203003364390249,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,chg_lag5,0.0009248322063411807,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,carry_roll,0.005227325129770588,carry_roll,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mom_63d,0.001154068350045015,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mom_1m,0.0003705452184228769,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mom_3m,2.414940255435205e-05,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mom_6m,0.00012712595969388563,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mom_12m,8.873680304179177e-05,momentum,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,dev_ma_3m,0.01413958268792151,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,dev_ma_12m,0.001057660674863653,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vol_20d,0.0013931488157522404,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vol_regime,0.00019653099066634094,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vol_zscore,0.0016396951359085032,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,level_zscore,0.00034458066656486985,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,slope_10_1,1.443335318031258e-05,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,slope_10_5,7.915654075917045e-05,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,slope_5_1,0.0035417034323230456,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,sofr_mom_1m,5.552577724651786e-06,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ibor_level,0.0007540003864096867,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ibor_chg_1d,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ibor_mom_1m,3.502209956761371e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ibor_term_slope,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,swap_ibor_basis,0.0024277324635894604,curve,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,move_level,7.31162904817062e-06,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,move_zscore,2.8643035979394882e-05,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vix_level,0.0003494147481564319,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vix_zscore,0.00013387649124629863,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,v2x_level,3.10594069845016e-05,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,vxn_level,0.00012040563058059173,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ovx_level,7.995006575542418e-06,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,gvz_level,5.530357002511699e-05,vol,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,spx_mom_1m,6.3064609220162e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,spx_mom_3m,0.00016412370467366877,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,sx5e_mom_1m,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,sx5e_mom_3m,0.0001317706721153944,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,mxwo_mom_1m,1.1776702629362479e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ndx_mom_1m,2.497238063456364e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,oil_mom_1m,0.0003282610118277157,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,oil_mom_3m,0.0001316073021737224,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,copper_mom_1m,0.0001633326642712235,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,opec_prod,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,natgas_mom_1m,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,be5y_level,0.0,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,be10y_level,0.00024812448425701183,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,be_slope,6.890996937194971e-06,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,be5y_chg_1m,0.0002603589313845689,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ig_spread,0.0,credit,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,hy_spread,0.0,credit,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,ig_chg_1m,0.0,credit,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,hy_chg_1m,0.0,credit,113,4,
