notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,agg_level,use_categoricals,n_securities,pca_k,tau_w
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,__POOL__,__ALL__,__ALL__,63,GFC,GFC,train,fd70b606868e,80,52810,0.7568831660670328,1.0,0.7081045964363241,0.08806563517639693,0.3124776432806264,0.19779966830045465,0.7181698048800633,15.815267694174013,0.0,16.382767605790413,1.788018699808015e-60,124.85386448713244,0.0,0.0,838,aggregate,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,__POOL_NOR__,NOR,__ALL__,63,GFC,GFC,train,fd70b606868e,80,4509,0.737857618097139,1.0,0.6969142244096158,0.056843216649937196,0.1876310747005988,0.16869148860686678,0.6970479610552709,3.1882566460695774,0.0007156671688556271,3.0756162165380077,0.0010566343280114477,31.737866645580176,0.0,3.318862930415254e-233,72,aggregate_nor,True,5,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,NOR_10Y,NOR,10Y,63,GFC,GFC,train,fd70b606868e,80,909,0.724972497249725,1.0,0.630363236481019,0.03389649553375915,0.09170303134213421,0.14072505226091217,0.6303666843106315,2.0563496408052533,0.019874413328109464,2.006736963009075,0.02253686790993437,14.219903368879008,0.0,1.7592014684346496e-43,14,per_security,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,NOR_15Y,NOR,15Y,63,GFC,GFC,train,fd70b606868e,80,895,0.71731843575419,1.0,0.5259157859591739,0.03497327265913684,0.07377221452513966,0.1347178984583951,0.525928930231329,2.1048418817945547,0.017652537056313422,1.8806880982516185,0.030169606889653144,13.781285621547557,0.0,5.2514753998139154e-40,14,per_security,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,NOR_1Y,NOR,1Y,63,GFC,GFC,train,fd70b606868e,80,903,0.8039867109634552,1.0,0.7434493499149422,0.12876726589516757,0.5031735860160576,0.24962149756369126,0.7440897744360964,1.4472047861100046,0.07391978824103829,1.3209032539981047,0.0934343153166866,15.913902672441491,0.0,7.406974465447895e-80,14,per_security,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,NOR_30Y,NOR,30Y,63,GFC,GFC,train,fd70b606868e,80,893,0.7043673012318029,1.0,0.552375283212313,0.03524897014103012,0.07875177575587905,0.13755426872185245,0.5524041229203814,2.074067941309668,0.019036500717826255,1.8156850581912753,0.03487716952855042,13.219907133985304,0.0,2.1706770120499395e-35,14,per_security,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,NOR_5Y,NOR,5Y,63,GFC,GFC,train,fd70b606868e,80,909,0.7381738173817382,1.0,0.7298370028032519,0.0510878976514588,0.18916748560231023,0.1803016020179341,0.7299329877500107,1.863203080238489,0.03121684984415707,1.6982254947324757,0.044903910285704035,14.531180452175853,0.0,1.0225849582593075e-48,14,per_security,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,AUS_10Y,AUS,10Y,63,GFC,GFC,train,fd70b606868e,80,910,0.7637362637362637,1.0,0.739044984626456,0.06108763998431918,0.234094816951978,0.19537093063667774,0.739047447612432,2.0386792670773226,0.020741024147383547,1.976887584775045,0.02417809062576123,14.31876146045285,0.0,6.160885006652147e-60,14,per_security_nonnok,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,AUS_15Y,AUS,15Y,63,GFC,GFC,train,fd70b606868e,80,910,0.7527472527472527,1.0,0.7177872422814395,0.06943928794993359,0.24605312396516482,0.2066920342568475,0.7177874158599811,2.0468074482323044,0.02033849703861612,1.9947723209564323,0.02318296563661106,14.256074514487706,0.0,5.749142548927783e-55,14,per_security_nonnok,True,77,12,
pooled_v5,2026-06-30T21:27:27.220753+00:00,pooled,True,walk_forward,level_change,AUS_1Y,AUS,1Y,63,GFC,GFC,train,fd70b606868e,80,910,0.8307692307692308,1.0,0.7662483311645185,0.12589672070567198,0.5427970244587913,0.26555982043782933,0.7680593020361519,1.5043440348842463,0.0662464031609502,1.3777640024719313,0.08430762482713826,17.517415139121354,0.0,2.4855799932182904e-96,14,per_security_nonnok,True,77,12,
